Release Date,Album,Catalog Number,Chart Position,Notes
"November 26, 1993",Yume Hurry Up,KIDA-69,58,Single - All Purpose Cultural Cat Girl Nuku Nuku OVA Themes
"May 25, 1994",Until Strawberry Sherbet,KIDA-81,42,Single - contains themes for Bakuretsu Hunter
"November 3, 1994",Touch and Go!!,KIDA-90,37,Single - Contain themes for the show Blue Seed
"December 21, 1994",Pulse,TYCY-5413,84,Single (re-release)
"July 2, 1994",SpHERE,KICS-430,8,Album
"March 3, 1995",Enfleurage,KICS-475,6,Album
"July 21, 1995",Midnight Blue,KIDA-108,27,Single - Slayers the Motion Picture Theme
"December 6, 1995",Going History,KIDA-124,25,Single - Slayers EXTRA Theme
"April 24, 1996",Give a reason,KIDA-128,9,Single - Slayers Next Theme
"May 22, 1996",Kagirinai Yokubou no Naka ni,KIDA-134,20,Single - Slayers Special OVA Theme
