#,Date,Opponent,Score,Win,Loss,Save,Crowd,Record
1,Apr 3,@MIN,W 8-1,Morris,Williams,,"34,381",1-0
2,Apr 5,@MIN,W 7-3,Petry,Viola,,"8,373",2-0
3,Apr 6,@CHW,W 3-2,Wilcox,Dotson,Hernandez,"42,692",3-0
4,Apr 7,@CHW,W 4-0,Morris,Bannister,,"24,616",4-0
5,Apr 8,@CHW,W 7-3,Lopez,Seaver,,"20,478",5-0
6,Apr 10,TEX,W 5-1,Petry,Stewart,,"51,238",6-0
7,Apr 12,TEX,W 9-4,Morris,Tanana,,"19,154",7-0
8,Apr 13,@BOS,W 13-9,Bair,Hurst,,"35,179",8-0
9,Apr 18,KCR,W 4-3 (10),Hernandez,Beckwith,,"12,310",9-0
10,Apr 19,KCR,L 2-5,Saberhagen,Petry,Quisenberry,"12,100",9-1
