Name,Location,County,Order,Year dissolved,Random_Column_1,Random_Column_2
Carmarthen Priory,Carmarthen,Carmarthenshire,Canon Regular,1536,rOBLg6v,N7Dlx3
Cartmel Priory,Lower Allithwaite,Cumbria,Canon Regular,1536,cbgM69T9,FT7Xql
Castle Acre Priory,Castle Acre,Norfolk,Cluniac,1537,QOfinwSo,kjHm5j
Charterhouse London,City of London,Greater London,Carthusian,1537,MltoVb,hBx4tL
Christchurch Priory,Christchurch,Dorset,Augustinian,1539,Jj4qhWe,Qoq4KX
Cirencester Abbey,Cirencester,Gloucestershire,Augustinian,1539,BYDp7cKQ,gSY7Dg
Cleeve Abbey,Old Cleeve,Somerset,Cistercian,1536,VAy6dGC,nCHxb1
Colchester Abbey,Colchester,Essex,Benedictine,1539,WBhDrU3D,Sx6mL
Croyland Abbey,Crowland,Lincolnshire,Benedictine,1539,7Hrcf,Tfh7fNi
Croxden Abbey,Croxden,Staffordshire,Cistercian,1538,1gdklFv,iSsfPMW
Croxton Abbey,Croxton Kerrial,Leicestershire,Premonstratensian,1538,zRpTGt,cygU2L
Dalby and Heather Preceptory,Old Dalby,Leicestershire,Knights Hospitaller,1538,iqvZEOr5,LP3XlH48
Dale Abbey,Dale Abbey,Derbyshire,Premonstratensian,1538,k6kBQ,1nnNag
Darley Abbey,Darley Abbey,Derbyshire,Canons Regular,1538,cbkIVDF,hDG1L1
Delapré Abbey,Northampton,Northamptonshire,Cluniac Nunnery,1538,qworW,RHt5RA
Dore Abbey,Abbey Dore,Herefordshire,Cistercian,1536,An1j9BY,V2HAw6
