#,Judge,State,Born/Died,Active,Chief,Senior,Appointed by,Reason fortermination
11,Edwin Ruthven Holmes,MS,1878–1961,1936–1954,——,1954–1961,F. Roosevelt,death
12,Leon Clarence McCord,AL,1878–1952,1938–1951,——,1951–1952,F. Roosevelt,death
13,Curtis Longino Waller,FL,1887–1950,1943–1950,——,——,F. Roosevelt,death
14,Elmo Pearce Lee,LA,1882–1949,1943–1949,——,——,F. Roosevelt,death
15,Wayne G. Borah,LA,1891–1966,1949–1956,——,1956–1966,Truman,death
16,Robert Lee Russell,GA,1900–1955,1949–1955,——,——,Truman,death
17,Louie Willard Strum,FL,1890–1954,1950–1954,——,——,Truman,death
18,Richard Rives,AL,1895–1982,1951–1966,1959–1960,1966–1981,Truman,reassignment to 11th Circuit
19,Elbert Tuttle,GA,1897–1996,1954–1968,1960–1967,1968–1981,Eisenhower,reassignment to 11th Circuit
20,Benjamin Franklin Cameron,MS,1890–1964,1955–1964,——,——,Eisenhower,death
