Wrestlers:,Times:,Date:,Location:,Notes:,Dummy_Col_1,Irrelevant_2
Koji Nakagawa and Gedo,1,"June 13, 1999","Okayama, Japan",Nakagawa and Gedo were named champions for being the last FMW Brass Knuckles Tag Team Champions.,MYsRmFEX,gg5N9z
Tetsuhiro Kuroda and Hisakatsu Oya,1,"August 8, 1999","Tokyo, Japan",,kMMuLRep,9TxDqs
Mr. Gannosuke and H,1,"December 1, 1999","Osaka, Japan",,oYrwIb,JY2EQ
Kyoko Inoue and Kodo Fuyuki,1,"February 25, 2000","Tokyo, Japan",Kyoki Inoue is the first known women in Japanese wrestling history to win a men's championship in a promotion.,MDftCl,3N0iD
Koji Nakagawa and Gedo,2,"April 1, 2000","Yokosuka, Japan","Nakagawa and Gedo are the first team to become two-time champions. Titles are vacated after Nakagawa turns on Gedo following a six-man tag team match on May 28, 2000.",WLQCnTJ,d7Qua6
Jado and Gedo,1,"July 14, 2000","Takamatsu, Japan",Jado and Gedo defeated H and Tetsuhiro Kuroda to win the vacant titles. Gedo becomes the first person to hold the titles with two different partners.,Wvrig,cdf2qTk
Masao Inoue and Yoshinobu Kanemaru,1,"July 28, 2000","Tokyo, Japan",,soTCB,ci1qpU
Tamon Honda and Naomichi Marufuji,1,"August 22, 2000","Tokyo, Japan",Title change occurs in Pro Wrestling Noah.,KTQNm,CYrin
Kodo Fuyuki and Tetsuhiro Kuroda,1,"December 23, 2000","Tokyo, Japan",Title change occurs in Pro Wrestling Noah.,eaRGPxMq,cOnQPXYi
Masato Tanaka and Gedo,1,"January 7, 2001","Tokyo, Japan",Gedo becomes the first person to hold the titles with three different partners. The titles are vacated in February 2001 when both Tanaka and Gedo leave FMW.,AUSZN,dY9jrsBP
Goemon and Onryo,1,"May 5, 2001","Kawasaki, Japan",Goemon and Onryo defeated Nova and Super Crazy to win the vacant titles.,lcAEl,uSl3YMW
Mr. Gannosuke and Mammoth Sasaki,1,"September 5, 2001","Sapporo, Japan",,SAyzK,1bjMV
