Town/Village,Population,Postal Code,Municipality,Island,Location,Filler_1,Filler_2
Akrar,28,FO 927,Sumbiar,Suðuroy,61°27′20″N 6°45′33″W﻿ / ﻿61.45556°N 6.75917°W,gDkLZ,hGyQvxT
Argir,1907,FO 160,Tórshavnar,Streymoy,61°59′53″N 6°46′23″W﻿ / ﻿61.99806°N 6.77306°W,hvUPGYA,MSvApP
Ánir,13,FO 726,Klaksvíkar,Borðoy,62°15′23″N 6°34′40″W﻿ / ﻿62.25639°N 6.57778°W,CFYDKOB,stWwvVq
Árnafjørður,49,FO 727,Klaksvíkar,Borðoy,62°15′21″N 6°32′3″W﻿ / ﻿62.25583°N 6.53417°W,Qbakg,wmNWm
Bøur,70,FO 386,Sørvágs,Vágar,62°5′27″N 7°22′3″W﻿ / ﻿62.09083°N 7.36750°W,gjirSYrV,KLUvvI
Dalur,48,FO 235,Húsavíkar,Sandoy,61°46′56″N 6°40′32″W﻿ / ﻿61.78222°N 6.67556°W,DBOMdWjc,LNpPvU
Depil,2,FO 735,Hvannasunds,Borðoy,62°17′10″N 6°31′39″W﻿ / ﻿62.28611°N 6.52750°W,vPiOUUl,TXTiBOlu
Eiði,651,FO 470,Eiðis,Eysturoy,62°18′1″N 7°5′20″W﻿ / ﻿62.30028°N 7.08889°W,mgMnlD,OsdyU
Elduvík,27,FO 478,Runavíkar,Eysturoy,62°16′57″N 6°54′35″W﻿ / ﻿62.28250°N 6.90972°W,FTOPNG,jYhEwRbT
Fámjin,113,FO 870,Fámjins,Suðuroy,61°31′35″N 6°52′37″W﻿ / ﻿61.52639°N 6.87694°W,ReZLMJ,VkZlEo
Froðba,137,FO 825,Tvøroyrar,Suðuroy,61°32′53″N 6°46′20″W﻿ / ﻿61.54806°N 6.77222°W,acXDc,aNEWckeL
Fuglafjørður,1542,FO 530,Fuglafjarðar,Eysturoy,62°14′40″N 6°48′52″W﻿ / ﻿62.24444°N 6.81444°W,XlhqZJHW,wpihZw
Funningsfjørður,65,FO 477,Runavíkar,Eysturoy,62°14′17″N 6°55′44″W﻿ / ﻿62.23806°N 6.92889°W,UxwqCK,WYBGMg
