Town/Village,Population,Postal Code,Municipality,Island,Location
Kolbanargjógv,33,FO 495,Sjóvar,Eysturoy,62°6′30″N 6°47′6″W﻿ / ﻿62.10833°N 6.78500°W
Kollafjørður,822,FO 410,Tórshavnar,Streymoy,62°7′6″N 6°54′20″W﻿ / ﻿62.11833°N 6.90556°W
Koltur,2,FO 285,Tórshavnar,Koltur,61°59′13″N 6°57′53″W﻿ / ﻿61.98694°N 6.96472°W
Kunoyar bygd,73,FO 780,Kunoyar,Kunoy,62°17′37″N 6°40′2″W﻿ / ﻿62.29361°N 6.66722°W
Kvívík,376,FO 340,Kvívíkar,Streymoy,62°7′14″N 7°4′4″W﻿ / ﻿62.12056°N 7.06778°W
Lambareiði,7,FO 626,Runavíkar,Eysturoy,62°8′31″N 6°43′44″W﻿ / ﻿62.14194°N 6.72889°W
Lambi,142,FO 627,Runavíkar,Eysturoy,62°8′33″N 6°42′8″W﻿ / ﻿62.14250°N 6.70222°W
Langasandur,35,FO 438,Sunda,Streymoy,62°14′14″N 7°3′13″W﻿ / ﻿62.23722°N 7.05361°W
Leirvík,853,FO 520,Leirvíkar,Eysturoy,62°12′40″N 6°42′22″W﻿ / ﻿62.21111°N 6.70611°W
Leynar,120,FO 335,Kvívíkar,Streymoy,62°6′58″N 7°2′22″W﻿ / ﻿62.11611°N 7.03944°W
Ljósá,35,FO 466,Eiðis,Eysturoy,62°16′6″N 7°3′1″W﻿ / ﻿62.26833°N 7.05028°W
Lopra,95,FO 926,Sumbiar,Suðuroy,61°26′40″N 6°46′8″W﻿ / ﻿61.44444°N 6.76889°W
