Year,Round,Against,Score,Scorers
1998,Quarter-Final,Denmark,3–2,"Bebeto, Rivaldo (2)"
1998,Semi-Final,Netherlands,1–1 (AET),Ronaldo
1998,Final,France,0–3,
2002,Group C,Turkey,2–1,"Ronaldo, Rivaldo"
2002,Group C,China PR,4–0,"Roberto Carlos, Rivaldo, Ronaldinho, Ronaldo"
2002,Group C,Costa Rica,5–2,"Ronaldo (2), Edmílson, Rivaldo, Júnior"
2002,Round of 16,Belgium,2–0,"Rivaldo, Ronaldo"
2002,Quarter-Final,England,2–1,"Rivaldo, Ronaldinho"
2002,Semi-Final,Turkey,1–0,Ronaldo
2002,Final,Germany,2–0,Ronaldo (2)
