Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus,Filler_1,Noise_Field_2,Noise_Field_3
Thomas James McAvoy,N.D.N.Y.,"March 4, 1986","September 17, 2003",Incumbent,rCLbjUQ,etdLl,LOCgy
Alan Angus McDonald,E.D. Wash.,"October 17, 1985","December 13, 1996","July 26, 2007",gloXzS,iouKPL,NbLUJ
Howard D. McKibben,D. Nev.,"October 4, 1984","April 1, 2005",Incumbent,GUoCrAFY,PbObMaIs,FrHdl
Larry J. McKinney,S.D. Ind.,"July 20, 1987","July 4, 2009",Incumbent,ONTwgtI,sVoPgOac,vakmSJZz
Joseph M. McLaughlin,E.D.N.Y.,"September 28, 1981","October 18, 1990",–,QVITqTR,xWeOyAWG,SUYTQvxj
A. J. McNamara,E.D. La.,"June 21, 1982","June 9, 2001",Incumbent,SajQeU,ZPLREECj,gZRTg
Richard B. McQuade Jr.,N.D. Ohio,"September 15, 1986","September 30, 1989",–,JBkMHu,RzbxDVIR,ERYdPji
Glenn Everell Mencer,W.D. Pa.,"March 19, 1982","April 18, 1994","April 17, 2007",iCLvsZ,KopZpo,EmDIQhJ
Henry Alvan Mentz Jr.,E.D. La.,"June 25, 1982","July 1, 1992","December 31, 2001",OnfEPMiE,JAwqJ,ypqIPbHk
Ronald Edward Meredith,W.D. Ky.,"April 4, 1985","December 1, 1994",–,NXwGfa,SwwGSi,IBmurw
Michael M. Mihm,C.D. Ill.,"August 6, 1982","October 1, 2009",Incumbent,CBDpydTu,BzAdLf,TcrAC
Herbert Theodore Milburn,E.D. Tenn.,"June 7, 1983","October 9, 1984",–,LKkrtWR,Bnvjms,PVIrb
Robert Lowell Miller Jr.,N.D. Ind.,"December 17, 1985",Incumbent,–,GbzfAOk,ArJPPHv,pxAKyGm
Richard Henry Mills,C.D. Ill.,"July 22, 1985","October 7, 1997",Incumbent,kHZdQ,bypIk,ygdrCQf
Roger Miner,N.D.N.Y.,"September 28, 1981","August 2, 1985",–,sgcxKpoq,coxFo,yEhccR
James Tyne Moody,N.D. Ind.,"February 9, 1982","June 17, 2003",Incumbent,mZBvhQ,dWvTwa,OEilP
John H. Moore II,M.D. Fla.,"December 1, 1981","December 31, 1995","July 18, 2013",hHlhPI,QRjVnyW,OeLKsTFG
J. Frederick Motz,D. Md.,"July 12, 1985","December 17, 2010",Incumbent,xLxEI,QOnKCEX,kDXtM
Michael Mukasey,S.D.N.Y.,"November 9, 1987","August 1, 2006","September 9, 2006",HKncYYI,hvldBAXL,lRRBfN
Lenore Carrero Nesbitt,S.D. Fla.,"November 16, 1983","July 19, 1998","October 6, 2001",XZwdieHA,BkptTDOS,lfwGWylV
Alan Harris Nevas,D. Conn.,"October 17, 1985","March 27, 1997","February 2, 2009",sEIpYbS,sOAKRMff,hrktNrET
Paul V. Niemeyer,D. Md.,"February 22, 1988","August 10, 1990",–,rTXmv,VTzBW,UFQnnr
John Albert Nordberg,N.D. Ill.,"April 21, 1982","June 18, 1994",Incumbent,PuGqzNi,urtEUC,UgHIkx
"Charles Ronald Norgle, Sr.",N.D. Ill.,"October 4, 1984",Incumbent,–,Vccfo,vpzNtr,KIyDHjy
James Robertson Nowlin,W.D. Tex.,"October 26, 1981","May 31, 2003",Incumbent,gpJvdAcC,PRGYYuoF,ipsqz
"Thomas Newman O'Neill, Jr.",E.D. Pa.,"August 5, 1983","July 6, 1996",Incumbent,GTLyCDYZ,rDexH,ZXZeFxWv
James Aubrey Parker,D.N.M.,"November 6, 1987","September 1, 2003",Incumbent,uaqOd,qBGCz,LjmuNKS
"Robert P. Patterson, Jr.",S.D.N.Y.,"October 6, 1988","December 31, 1998",Incumbent,pjxKij,WZzsnE,SsKNg
Maurice M. Paul,N.D. Fla.,"June 21, 1982","July 31, 1997",Incumbent,iqOCAb,XvBpmHM,jMWeCXu
