AIRLINE,AIRLINE (in Russian),LICENCE #,ICAO,IATA,DOMESTIC CODE,CALLSIGN,PHOTO
Amur aviation base,Государственное автономное учреждение Амурской области «Амурская авиабаза»,527,,,ЦХ,,
Auo Airclub AIST-M (1),Автономная некоммерческая организация «Аэроклуб «АИСТ-М»,,ISM,,ИМ,STORK,
Ak Bars Aero,ОАО «Ак Барс Аэро»,249,BGM,2B,БГ,BUGULMA,
Alrosa Mirny Air Enterprise,ЗАО «Авиакомпания АЛРОСА»,230,DRU,6R,ЯМ,MIRNY,
Altay airlines,Алтайское краевое государственное унитарное предприятие «Алтайские авиалинии»,333,,,БШ,,
Angara Airlines,ОАО «Авиакомпания «Ангара»,477,AGU,IK,ИК,SARMA,
Argo JSK,ЗАО «Авиакомпания «АРГО»,124,,,ТЯ,,
"Artel Staratelei \Amur\"" Airlines""",ОАО «Артель старателей «Амур»,58,,,ДГ,,
ATRAN,ООО «АТРАН»,499,VAS,V8,ЮЛ,ATRAN,
Aurora,ОАО «Авиакомпания «Аврора»,486,SHU,HZ,ИМ,,
Aviacon Zitotrans,ОАО «Авиакомпания «Авиакон Цитотранс»,442,AZS,ZR,РЦ,ZITOTRANS,
Avialift Vladivostok,ЗАО «Авиалифт Владивосток»,120,VLV,,ДВ,VLADLIFT,
Aviashelf,ЗАО «Совместное предприятие «Авиационная компания «Авиашельф — Aviashelf»,9,,,ЮШ,,
Aviastar-TU,ООО «Авиационная компания «Авиастар-ТУ»,458,TUP,4B,ЦТ,TUPOLEVAIR,
Aviation Ministry of the Interior of the Russian Federation,,,RIF,,,INTERMIN AVIA,
