County,Feinstein,Votes,Seymour,Votes,Horne,Votes,Meeu.,Votes,Boddie,Votes,W/I,V's
Orange,39.87%,"377,170",50.93%,"481,810",2.86%,"27,056",3.42%,"32,316",2.93%,"27,729",0.00%,0
Madera,39.79%,"11,682",52.14%,"15,309",2.94%,862,3.63%,"1,066",1.50%,441,0.00%,0
Tehama,39.31%,"8,253",48.19%,"10,116",2.99%,627,5.43%,"1,140",4.08%,856,0.00%,0
Shasta,37.81%,"25,111",51.48%,"34,192",2.90%,"1,928",4.62%,"3,070",3.19%,"2,116",0.00%,0
Colusa,37.58%,"2,083",54.37%,"3,014",2.53%,140,3.18%,176,2.35%,130,0.00%,0
Inyo,37.41%,"3,067",52.66%,"4,318",2.68%,220,4.34%,356,2.90%,238,0.00%,0
Sutter,36.43%,"9,135",53.54%,"13,427",2.38%,596,5.24%,"1,313",2.42%,606,0.00%,0
Kern,36.31%,"63,661",54.46%,"95,483",3.22%,"5,640",3.59%,"6,289",2.43%,"4,258",0.00%,3
Modoc,35.77%,"1,572",52.95%,"2,327",3.00%,132,5.21%,229,3.07%,135,0.00%,0
Tulare,35.71%,"30,665",56.46%,"48,493",2.72%,"2,332",3.11%,"2,674",2.00%,"1,720",0.00%,0
Glenn,33.10%,"2,864",56.73%,"4,908",2.51%,217,4.81%,416,2.85%,247,0.00%,0
