Date,Venue,Score,Victor,Comments,Match reports
24 November 2012,"Millennium Stadium, Cardiff",10 – 33,New Zealand,2012 Autumn International,
27 November 2010,"Millennium Stadium, Cardiff",25 – 37,New Zealand,2010 Autumn International,BBC
26 June 2010,"Waikato Stadium, Hamilton",29 – 10,New Zealand,2010 mid-year rugby test series,
19 June 2010,"Carisbrook, Dunedin",42 – 9,New Zealand,2010 mid-year rugby test series,Stuff
7 November 2009,"Millennium Stadium, Cardiff",12 – 19,New Zealand,2009 Autumn International,BBC
22 November 2008,"Millennium Stadium, Cardiff",9 – 29,New Zealand,2008 Autumn International,BBC
25 November 2006,"Millennium Stadium, Cardiff",10 – 45,New Zealand,2006 Autumn International,BBC
5 November 2005,"Millennium Stadium, Cardiff",3 – 41,New Zealand,2005 Autumn Internationals,BBC
20 November 2004,"Millennium Stadium, Cardiff",25 – 26,New Zealand,2004 Autumn Internationals,BBC
2 November 2003,"Stadium Australia, Sydney",53 – 37,New Zealand,2003 Rugby World Cup,BBC
23 June 2003,"Waikato Stadium, Hamilton",55 – 3,New Zealand,,
23 November 2002,"Millennium Stadium, Cardiff",17 – 43,New Zealand,2002 NZ Tour,
29 November 1997,"Wembley Stadium, London",7 – 42,New Zealand,1997 New Zealand rugby union tour of Britain and Ireland,
31 May 1995,"Ellis Park, Johannesburg",34 – 9,New Zealand,1995 Rugby World Cup,
4 November 1989,"National Stadium, Cardiff",9 – 34,New Zealand,1989 New Zealand rugby union tour,
