,Name on the Register,Date listed,Location,City or town,Summary
12,Goodspeed Memorial Library,"January 5, 1989(#88003019)",104 Main St.44°35′16″N 70°13′51″W﻿ / ﻿44.587778°N 70.230833°W,Wilton,
13,Greenacre,"October 29, 1982(#82000422)",17 Court St.44°40′24″N 70°08′53″W﻿ / ﻿44.673333°N 70.148056°W,Farmington,
14,Chester Greenwood House,"July 12, 1978(#78000160)",State Route 2744°39′39″N 70°08′52″W﻿ / ﻿44.660833°N 70.147778°W,Farmington,
15,Holmes-Crafts Homestead,"April 26, 1973(#73000105)",Old N. Jay Rd. on State Route 444°31′08″N 70°13′28″W﻿ / ﻿44.518889°N 70.224444°W,North Jay,
16,Frank Hutchins House,"December 29, 1986(#86003532)",High St.44°57′05″N 70°09′54″W﻿ / ﻿44.951389°N 70.165°W,Kingfield,
17,Jay-Niles Memorial Library,"March 13, 1987(#87000414)",State Route 444°32′53″N 70°14′17″W﻿ / ﻿44.548056°N 70.238056°W,North Jay,
18,Little Red Schoolhouse,"February 23, 1972(#72000070)",South of West Farmington on Wilton Rd.44°37′52″N 70°09′16″W﻿ / ﻿44.631111°N 70.154444°W,West Farmington,
19,Madrid Village Schoolhouse,"December 14, 1995(#95001460)","Western side of Reeds Mills Rd., 0.05 miles north of its junction with State Route 444°51′53″N 70°27′45″W﻿ / ﻿44.864722°N 70.4625°W",Madrid,
20,Maine Woods Office,"November 10, 1980(#80000216)",Main St.44°49′27″N 70°20′55″W﻿ / ﻿44.824167°N 70.348611°W,Phillips,
21,McCleary Farm,"April 7, 1989(#89000253)",S. Strong Rd.44°45′50″N 70°12′34″W﻿ / ﻿44.763889°N 70.209444°W,Strong,
22,Merrill Hall,"January 23, 1980(#80000217)",Maine and Academy Sts.44°40′09″N 70°08′58″W﻿ / ﻿44.669167°N 70.149444°W,Farmington,
