Call Sign,Frequency,City of License,Licensee,Format,Irrelevant_1
KMSA,91.3 FM,Grand Junction,Colorado Mesa University,AAA,veFEX9C9
KMGJ,93.1 FM,Grand Junction,"MBC Grand Broadcasting, Inc.",Top 40 (CHR)/Contemporary Hit Radio,1vYSIsp
KKVT,100.7 FM,Grand Junction,"MBC Grand Broadcasting, Inc.",Country,2hmFVVU
KLFV,90.3 FM,Grand Junction,Educational Media Foundation,Christian Contemporary,Ke2H5x
KMOZ-FM,92.3 FM,Grand Junction,"MBC Grand Broadcasting, Inc.",Adult Hits,xs42je9
KGJN-LP,106.7 FM,Grand Junction,"Colorado, State Of, Telecom Servs",News Talk Information,QlCsP
KJOL,620 AM,Grand Junction,United Ministries,Christian Contemporary,VAQcR
KCIC,88.5 FM,Grand Junction,Pear Park Baptist Schools,Religious,N3g1fFl
KBKL,107.9 FM,Grand Junction,Townsquare Media Group,Oldies,l6ThG
KAFM,88.1 FM,Grand Junction,"Grand Valley Public Radio Co, Inc",Variety,o3le4JzE
KEXO,1230 AM,Grand Junction,Townsquare Media Group,Regional Mexican/Talk,2fYuj5Hn
KNZZ,1100 AM,Grand Junction,"MBC Grand Broadcasting, Inc.",News/Talk,fdWW5aS1
KMXY,104.3 FM,Grand Junction,Townsquare Media Group,Hot Adult Contemporary,7W5YZEX
