Country,Zone,National Federation,#GM,#FIDE,National Championship
Mongolia,3.3,Mongolian Chess Federation,2,91,Mongolian Chess Championship
Montenegro,1.5a,Montenegro Chess Federation [47],6,46,Montenegrin Chess Championship
Morocco,4.1,Fed. Royale Marocaine des Echecs [48],1,68,Moroccan Chess Championship
Netherlands,1.1b,Koninklijke Nederlandse Schaakbond [49],19,1553,Dutch Chess Championship
Nepal,3.5,Nepal Chess Association [50],1,155,Nepal Chess Championship
New Zealand,3.6,New Zealand Chess Federation [51],1,155,New Zealand Chess Championship
Norway,1.3,Norges Sjakkforbund [52],9,480,Norwegian Chess Championship
Panama,2.3c,Fed. de Ajedrez de Panama [53],0,28,Panamanian Chess Championship
Paraguay,2.5,Federacion Paraguaya de Ajedrez [54],1,146,Paraguayan Chess Championship
Peru,2.4,Federacion Peruana de Ajedrez [55],1,258,Peruvian Chess Championship
