Release date,Album,Record label,UK Albums Chart,U.S. Billboard 200 Chart,Random_Column_1
July 1983,The Alarm (EP),I.R.S. Records,-,126,H8qx3Pn
February 1984,Declaration,I.R.S. Records,6,50,JddtQY
October 1985,Strength,I.R.S. Records,18,39,SEURSg
November 1987,Eye of the Hurricane,I.R.S. Records,23,77,uO63j
November 1988,Electric Folklore Live,I.R.S. Records,62,167,gYQ6aa
1988,Compact Hits,A&M Records,-,-,NT9pUl
September 1989,Change ¥,I.R.S. Records,13,75,473sJEls
November 1990,Standards,I.R.S. Records,47,177,vZ7YvH
April 1991,Raw ¥¥,I.R.S. Records,33,161,kEa2S
2001,Eponymous 1981-1983 ¢,21st Century,-,-,jKOD9S
2001,Declaration 1984-1985 ¢,21st Century,-,-,21Mlb
2001,Strength 1985-1986 ¢,21st Century,-,-,6YZGWDj
