Release date,Album,Record label,UK Albums Chart,U.S. Billboard 200 Chart,Dummy_Col_1,Dummy_Col_2,Random_Column_3
2001,Eye of the Hurricane 1987-1988 ¢,21st Century,-,-,dvXCO,plhnKSp,W164BkXP
2001,Electric Folklore Live 1987-1988 ¢,21st Century,-,-,iKwtrZBo,AKXPIsR,OnRI2
2001,Change 1989-1990 ¢,21st Century,-,-,QVdSWD,VEvwmR,UTMCyj4
2001,Raw 1990-1991 ¢,21st Century,-,-,FaoRAi,JBjoovIA,CuNo8k
21 Sept 2002,Close≠,21st Century,-,-,KsINv,owvmci,lY2NHcLg
October 2002,The Normal Rules Do Not Apply≠,21st Century,-,-,vnoHHjU,sabeGJ,qptxxEo
17 Dec 2002,Trafficking≠,21st Century,-,-,YecULuA,AezTgg,hfeyH7C
17 Dec 2002,Edward Henry Street≠,21st Century,-,-,LXHmTM,OHKqoPbS,uBb0WpaM
January 2003,Coming Home≠,21st Century,-,-,bIqdz,yHWsLa,mrGIOZ1V
15 Jan 2003,Live at Hammersmith Palais 1984,21st Century,-,-,yaCGDtj,Lqfoi,nwmqIT
23 June 2003,The Alarm EP - 20th Anniversary Collectors Edition,21st Century,-,-,WMbCecO,SSYZgD,Go8GvkSr
