Release date,Album,Record label,UK Albums Chart,U.S. Billboard 200 Chart
17 Jul 2003,Live at Glasgow Garage =,21st Century,-,-
17 Jul 2003,Live at Liverpool Masque Theatre =,21st Century,-,-
17 Jul 2003,Live at London Mean Fiddler=,21st Century,-,-
19 Oct 2003,The Sound and the Fury =,Shakedown Records,-,-
2004,In the Poppyfields ¶,Snapper Music,107,-
2004,Live In the Poppyfields ¶,Snapper Music,-,-
2005,Alt-Strength,21st Century,-,-
2006,Under Attack $,Liberty,138,-
2006,The Best of The Alarm and Mike Peters,EMI,-,-
2006,Alarm MMV - The Saturday Gigs $,21st Century,-,-
2007,The Collection ^,EMI Gold,-,-
