Player,Career,Nickname,Team Inducted As
Rube Marquard,1908–25,"\Rube\""""",New York Giants
Christy Mathewson,1900–16,"\Big Six\"""," \""Matty\"""
Willie Mays,1951–73,"\The Say Hey Kid\""""",San Francisco Giants
Bill Mazeroski,1956–72,"\Maz\""""",Pittsburgh Pirates
Joe McCarthy,1926–50,"\Marse Joe\""""",New York Yankees
Willie McCovey,1959–80,"\Stretch\"""," \""Mac\"""
Joe McGinnity,1899–1908,"\Iron Man\""""",New York Giants
Bill McGowan,1925–1954,"\Little Joe Chest\""""",N/A
John McGraw,1899–1932,"\Little Napoleon\"" or \""Mugsy\""""",New York Giants
Bid McPhee,1882–99,"\Bid\""""",Cincinnati Red Stockings
Joe Medwick,1932–48,"\Ducky\"" or \""Ducky Wucky\""""",St. Louis Cardinals
Johnny Mize,1936–53,"\The Big Cat\""""",St. Louis Cardinals
Paul Molitor,1978–98,"\The Ignitor\"" or \""Molly\""""",Milwaukee Brewers
Joe Morgan,1963–84,"\Little Joe\""""",Cincinnati Reds
Eddie Murray,1977–97,"\Steady Eddie\""""",Baltimore Orioles
Stan Musial,1941–63,"\Stan the Man\""""",St. Louis Cardinals
Hal Newhouser,1939–55,"\Prince Hal\""""",Detroit Tigers
Kid Nichols,1890–1906,"\Kid\""""",Boston Beaneaters
