Pos.,Artist,Single,Year,Sales,Peak,Filler_1,Extra_Data_2,Unused_3
51,Gala,"\Let a Boy Cry\""""",1997,"497,000",1,XZaiT,891,
52,Emilia,"\Big Big World\""""",1999,"496,000",2,ZqdITV,830,
53,Puff Daddy & Faith Evans,"\I'll Be Missing You\""""",1997,"492,000",2,QEPNFO,460,
54,Hanson,"\MMMBop\""""",1997,"490,000",4,EanSSb,415,
55,Manau,"\Mais qui est la belette ?\""""",1999,"490,000",1,GwAVjEx,50,
56,The Cranberries,"\Zombie\""""",1995,"484,000",1,jdrHd,916,
57,Bellini,"\Samba de Janeiro\""""",1997,"481,000",3,FBpyDy,254,
58,John Scatman,"\Scatman (Ski Ba Bop Ba Dop Bop)\""""",1995,"479,000",1,wbcbIxI,88,
59,Regg'Lyss,"\Mets de l'huile\""""",1993,"476,000",1,idkYtQzp,621,
60,Janet Jackson,"\Together Again\""""",1998,"475,000",2,wPPkX,599,
