Pos.,Artist,Single,Year,Sales,Peak,Unused_1,Random_Column_2,Random_Column_3
71,Madonna,"\Don't Cry for Me Argentina\""""",1997,"447,000",1,,BmcWL,z9IkQC
72,Les Inconnus,\Auteuil, Neuilly," Passy\""""",1991,,riQtUx,FDdr05
73,Freddie Mercury,"\Living on My Own 1993\""""",1993,"426,000",1,,r7v45,bO6v9b
74,Mark Snow,"\The X-Files\""""",1996,"425,000",1,,qGfOA,yPpzcOoK
75,Pow woW,"\Le Chat\""""",1992,"423,000",1,,58tBfnV,n7zygt
76,Félix Gray & Didier Barbelivien,"\Il faut laisser le temps au temps\""""",1990,"420,000",1,,RciId,uMxoze
77,Felicidad,"\Dam dam deo\""""",1997,"410,000",3,,ywlUGUN,ZW6tnbw2
78,Britney Spears,"\(You Drive Me) Crazy\""""",1999,"409,000",2,,YbPsD,Od5iu
79,Worlds Apart,"\Je te donne\""""",1996,"408,000",3,,BxjjM1,wjK5i
80,Barbra Streisand & Céline Dion,"\Tell Him\""""",1997,"400,000",4,,wGVzueDm,emOvFfu5
