Name,Service,Rank,Role and unit,Date of award,Notes,Image
Franz Geskens,Heer,Feldwebel,Platoon leader in the 3./Panzer-Jäger-Abteilung 187,9 December 1944*,Killed in action 3 November 1944,—
Harald Geßner,Heer,Leutnant,Leader of the 10./Grenadier-Regiment 61,13 September 1943,—,—
Hans Gewehr,Heer,Hauptmann of the Reserves,Regiment adjutant in the Grenadier-Regiment 698,4 June 1944,—,—
Joachim Gey,Luftwaffe,Oberleutnant,"Staffelkapitän in the II./Kampfgeschwader 3 \Lützow\""""",21 June 1943,—,—
Heinrich Geyer,Heer,Feldwebel,Platoon leader in the 2./Panzergrenadier-Regiment 6,22 October 1944,—,—
Hermann Geyer,Heer,General der Infanterie zur Verwendung (for disposition),Commanding general IX. Armeekorps,25 June 1940,—,—
Leo Reichsfreiherr Geyr von Schweppenburg,Heer,General der Panzertruppe,Commanding general of the XXIV. Armeekorps (motorized),9 July 1941,—,—
Dr.-phil. Hans Gidion,Heer,Hauptmann of the Reserves,Leader of the II./Infanterie-Regiment 154,7 August 1942,—,—
Walter Giehrl,Heer,Oberleutnant,Leader of the 7./Gebirgsjäger-Regiment 138,31 July 1942,—,—
Albert Gielnik,Heer,Leutnant,Company leader in the Grenadier-Ersatz and Ausbildungs-Bataillon 318,24 February 1945*,Died of wounds 23 February 1943,—
Kurt Gierga,Heer,Hauptmann,Chief of the 5./Panzer-Regiment 5,30 June 1941,—,—
Franz Gierster,Heer,Hauptmann,Leader of the Infanterie-Bataillon z.b.V. 540,15 May 1944*,Killed in action 22 January 1944,—
Alfred Gies,Luftwaffe,Oberfeldwebel,"Pilot in the 1./Schlachtgeschwader 2 \Immelmann\""""",16 December 1944,—,—
Horst Giese,Heer,Leutnant,Leader of the 2./Panzer-Abteilung 5,17 April 1945,—,—
Otto Gieseke,Waffen-SS,SS-Standartenführer and Oberst of the Schupo,Commander of SS-Polizei-Schützen-Regiment 1,30 September 1942,—,—
Karl-Heinz Gieseler!,Waffen-SS,SS-Untersturmführer,"Stoßtruppführer (shock troops leader) in Berlin (in the 11. SS-Panzergrenadier-Division \Nordland\"")""",29 April 1945,—,—
Gerhard Giesen,Heer,Oberst,Commander of Grenadier-Regiment 123,11 March 1945*,Killed in action 5 February 1945,—
Karl-Heinz Giffhorn,Heer,Leutnant of the Reserves,Vorgeschobener Beobachter (forward observer) in the 6./Artillerie-Regiment 190 (motorized),18 November 1944,—,—
Erich Gilbert,Heer,Hauptmann,Commander of the II./Grenadier-Regiment 116,30 April 1945*,Killed in action 16 February 1945,—
Paul Gildner+,Luftwaffe,Oberfeldwebel,Pilot in the 3./Nachtjagdgeschwader 1,9 July 1941,Awarded 196th Oak Leaves 26 February 1943,—
Herbert Otto Gille+,Waffen-SS,SS-Oberführer,"Commander of SS-Artillerie-Regiment 5 \Wiking\""""",8 October 1942,Awarded 315th Oak Leaves 1 November 194347th Swords 20 February 194412th Diamonds 19 April 1944,
Léon Gillis,Waffen-SS,SS-Untersturmführer,"Platoon leader in the 5. SS-Freiwilligen-Sturmbrigade \Wallonie\""""",30 September 1944,—,—
Peter Gilow,Heer,Oberleutnant,Leader of the 2./Panzer-Regiment 1,14 September 1942,—,—
Werner-Albrecht Freiherr von und zu Gilsa+,Heer,Oberst,Commander of Infanterie-Regiment 9,5 June 1940,Awarded 68th Oak Leaves 24 January 1942,—
Walter Girg+,Waffen-SS,SS-Untersturmführer,Platoon leader in the 1./SS-Jäger-Bataillon 502,4 October 1944,Awarded 814th Oak Leaves 1 April 1945,—
Herbert Gladewitz,Heer,Leutnant of the Reserves,Leader of the 7./Ski-Jäger-Regiment 1,20 October 1944,—,—
Dieter Gläsche,Heer,Oberleutnant,Company leader in the Panzergrenadier-Regiment 11,17 April 1945,—,—
Wolfgang Glaesemer,Heer,Oberst,Commander of Panzergrenadier-Regiment 6,12 February 1943,—,—
Alexander Gläser+,Luftwaffe,Oberleutnant,Staffelkapitän of the 4./Sturzkampfgeschwader 77,19 February 1943,Awarded 811th Oak Leaves 28 March 1945,—
Erich Glaeser,Heer,Major,Commander of the II./Infanterie-Regiment 484,20 August 1942,—,—
Karl Glätzer,Heer,Hauptmann,Leader of the I./Grenadier-Regiment 426,9 April 1944,—,—
Erwin Glander,Heer,Leutnant of the Reserves,Leader of the 2./Sturmgeschütz-Brigade 210,21 September 1944*,Killed in action 2 August 1944,—
Friedrich Glaser,Heer,Obergefreiter,Richtschütze (gunner) in the 14.(Panzerjäger)/Grenadier-Regiment 253,2 November 1943,—,—
Wilhelm Glaser,Heer,Oberleutnant of the Reserves,Platoon leader in the III./Grenadier-Regiment 35 (motorized),17 August 1943,—,—
Anton Glasl,Heer,Oberst,Commander of Gebirgsjäger-Regiment 100,11 October 1943,—,—
Günter Glasner,Luftwaffe,Oberfeldwebel,Air gunner in the Stab/Kampfgeschwader 6,31 December 1943,—,—
Josef Glatz,Heer,Leutnant,Leader of the 1./Panzer-Jäger-Abteilung 46,12 January 1945,—,—
Walter Glembotzki,Luftwaffe,Leutnant of the Reserves,Leader of the 3./gemischte Flak-Abteilung 442 (verlegefähig—deployable),11 February 1945,—,—
