Genre,Year,Title,Episode,Role,Notes
Film,2001,The Anniversary Party,,Jerry Adams,
TV series,2001,CSI: Crime Scene Investigation,"\Slaves of Las Vegas\""""",Dr. Sidney Cornfeld,
TV series,2001,The Guardian,"\Loyalties\""""",The Hudson's Attorney,
TV film,2001,A Glimpse of Hell,,,
TV film,2001,Life with Judy Garland: Me and My Shadows,,Roger Edens,
TV series,2001,NYPD Blue,"\Mom's Away\""""",Phillip Connor,
Film,2002,Changing Lanes,,Carlyle,
TV series,2002,Hack,"\Obsession\""""",Dr. Martin Shane,
TV series,2002,Law & Order,"\DR 1-102\""""",Aaron Solomon,5 episodes total
TV series,2003,Law & Order: Criminal Intent,"\Con-Text\""""",Randall Fuller,
TV series,2003,It's All Relative,"\Pilot\""",,
"\""Truth and Consequences\""",,,,,
"\""Hell's Kitchen\""",,,,,
"\""Take Me Out\""",,,,,
"\""The Doctor Is Out\""",,,,,
