Year,Australian Open,French Open,Wimbledon,US Open,Random_Column_1
1902,tournament not created,tournament not created,tournament not created,Juliette Atkinson (7/7) Marion Jones,5eN8Qv5
1903,tournament not created,tournament not created,tournament not created,Elisabeth Moore (2/2) Carrie Neely (1/3),qeWpQ
1904,tournament not created,tournament not created,tournament not created,May Sutton Bundy Miriam Hall,otajp
1905,tournament not created,tournament not created,tournament not created,Helen Homans Carrie Neely (2/3),7gqkaz
1906,tournament not created,tournament not created,tournament not created,Ann Burdette Coe Ethel Bliss Platt,9yAYheJo
1907,tournament not created,tournament not created,tournament not created,Marie Wimer Carrie Neely (3/3),y0cGMwHk
1908,tournament not created,tournament not created,tournament not created,Evelyn Sears Margaret Curtis,gF9tNm
1909,tournament not created,tournament not created,tournament not created,Hazel Hotchkiss Wightman (1/7) Edith Rotch (1/2),bkNxCmc
1910,tournament not created,tournament not created,tournament not created,Hazel Hotchkiss Wightman (2/7) Edith Rotch (2/2),EoGjn3IQ
1911,tournament not created,tournament not created,tournament not created,Hazel Hotchkiss Wightman (3/7) Eleanora R. Sears (1/4),SqICdgII
1912,tournament not created,tournament not created,tournament not created,Mary Browne (1/6) Dorothy Green,r0Wdy
1913,tournament not created,tournament not created,Winifred McNair Dora Boothby,Mary Browne (2/6) Louise Riddell Williams (1/3),MEmlW
1914,tournament not created,tournament not created,Agatha Morton Elizabeth Ryan (1/17),Mary Browne (3/6) Louise Riddell Williams (2/3),x2EJo5GF
