Rd,Pick,Player,Position,School
13,131,Lyle Button,Tackle,Illinois
14,141,Bobby Lund,Back,Tennessee
15,151,Carl Copp,Tackle,Vanderbilt
16,161,Frank Reno,End,West Virginia
17,171,Leo Skladany,End,Pittsburgh
18,181,Russ Strait,Back,Muhlenberg
19,191,Paul Odom,Guard,Rollins
20,201,Lloyd Brinkman,Back,Missouri
21,211,Lou Futrell,Back,USC
22,221,Harvey Kingry,Back,Colorado Mines
23,231,Hank Kalver,Tackle,Oklahoma City
24,241,Fred Leon,Tackle,Nevada-Reno
25,251,"John \Bull\"" Schweder""",Guard,Pennsylvania
