Year,Title,Catalog,Year,Title,Catalog
1940,Buds Won't Bud / I'm Nobody's Baby,Decca 3174,1948,Love of My Life / You Can Do No Wrong,MGM 30098
1940,The End of the Rainbow,Decca 3231,1948,Mack the Black,MGM 30099
1940,Our Love Affair / I'm Always Chasing Rainbows,Decca 3593,1948,I Wish I Were in Love Again (w. Mickey Rooney) / Johnny One Note,MGM 30172
1940,It's a Great Day for the Irish / A Pretty Girl Milking Her Cow,Decca 3604,1948,Easter Parade (w. Fred Astaire) / A Fella With an Umbrella (w. Peter Lawford),MGM 30185
1941,The Birthday of a King / Star of the East,Decca 4050,1948,A Couple of Swells / Irving Berlin Medley (w. Fred Astaire),MGM 30186
1941,How About You? / F.D.R. Jones,Decca 4072,1948,Better Luck Next Time,MGM 30187
1941,Poor You / Last Call For Love,Decca 18320,1949,"Put Your Arms Around Me, Honey / Meet Me Tonight in Dreamland",MGM 50025
1942,For Me and My Gal / When You Wore a Tulip (w. Gene Kelly),Decca 18480,1949,Play That Barbershop Chord / I Don't Care,MGM 50026
1942,I Never Knew / On the Sunny Side of the Street,Decca 18524,1950,"Happy Harvest / If You Feel Like Singing, Sing",MGM 30252
1942,That Old Black Magic / Poor Little Rich Girl,Decca 18540,1950,Friendly Star / Get Happy,MGM 30254
1943,Could You Use Me? ( w. Mickey Rooney) / Embraceable You,Decca 23303,1953,Send My Baby Back to Me / Without a Memory,Columbia 40010
1943,But Not For Me,Decca 23309,1953,"Go Home, Joe / Heartbroken",Columbia 40023
