Date,Opponent,Score,Leading Scorer,Attendance,Record,Random_Column_1,Noise_Field_2,Dummy_Col_3
June 24,vs. Phoenix,90-98,Taj McWilliams-Franklin (31),"6,662",5-8,WYmwWnp,YqrIqZdW,MiZxuS
June 26,@ Los Angeles,77-74 (OT),Monique Currie (24),"8,144",6-8,kmXPW,luROUmE,CqoXzCe
June 29,@ Seattle,49-64,Alana Beard (16),"7,965",6-9,8a2VDB,tUAuhL,BRrVspF
July 1,@ Sacramento,81-87,Alana Beard (31),"5,705",6-10,qnXC0DOB,Shweg,QNLGsczi
July 6,vs. San Antonio,75-83,Alana Beard (20),"10,439",6-11,q4DZ9k0,rJVVWYt,Ethwd
July 8,vs. Indiana,50-48,Taj McWilliams-Franklin (20),"7,587",7-11,PjyvNVs,PVeztVpJ,oUtwHAG
July 11,@ Detroit,66-79,Coco Miller (15),"8,596",7-12,O9OSg6di,NHScE,sKyjrGKn
July 13,vs. Connecticut,69-64,Nikki Blue (13),"9,610",8-12,u1jy6O,hIJvOMqx,cDJvs
July 17,@ New York,56-77,Alana Beard (15),"8,344",8-13,YGwXl,neCoi,qsEhavS
July 18,vs. Detroit,62-99,Taj McWilliams-Franklin (13),"6,834",8-14,jFlHkv,MmLwagO,XjYHoXr
July 20,vs. Seattle,89-57,Taj McWilliams-Franklin (22),"8,543",9-14,5rvA9,jGwRkZiL,IetNuhOR
