Rank,Nation,Gold,Silver,Bronze,Total,Noise_Field_1,Random_Column_2,Filler_3
12,Malaysia (MAS),4,6,8,18,jzsWZIOS,xWZenQQ,nvHdg
13,Kuwait (KUW),4,3,5,12,OKQjh,8bIR9,YzHCwg
14,Philippines (PHI),2,4,1,7,Myikbi,vn7NtucQ,LJKLN
15,Iran (IRI),1,9,4,14,CgovOK,RkFRD4O,QNtOXp
16,Qatar (QAT),1,4,0,5,jqYeI,c6SpgqR,PkQOa
17,Uzbekistan (UZB),1,2,8,11,LRwmBO,ZuseB3u,QcraaOJ
18,Indonesia (INA),1,2,3,6,aMjadnm,zKjTPYHE,fQvynNSd
19,Saudi Arabia (KSA),1,1,2,4,OazSFfFZ,mI0unL,Dlaevgo
20,Yemen (YEM),1,0,1,2,giQZq,cQvpr,saoGubv
21,Syria (SYR),1,0,0,1,gGJZEDH,luBHJrr,SIENF
22,Sri Lanka (SRI),0,2,7,9,CVlzFHpW,HkBGXa,ddJYQVc
