No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date,Dummy_Col_1,Irrelevant_2,Dummy_Col_3
17,14,"\Shutter Bugged\"" / \""Is Usagi a Model? The Focus of the Monster Camera\""",,,GgZDM,Rkn4SS,wnjIMkZ
"\""Moderu wa Usagi? Yōma kamera no nessha\"" (モデルはうさぎ?妖魔カメラの熱写)""","July 4, 1992","September 28, 1995",,,oXQnslw,C0qw9X,hbHqIvm
18,15,"\Dangerous Dollies\"" / \""Shingo's Innocent Love! A Sorrowful French Doll\""",,,rLuvCx,xOTEWZj,vzPTRExI
"\""Shingo no junjō! Kanashimi no Furansu ningyō\"" (進悟の純情!哀しみのフランス人形)""","July 11, 1992","September 29, 1995",,,TqNMiY,klqoiG,YCQZRecn
19,16,"\Who Is That Masked Man?\"" / \""Usagi is Thrilled! Tuxedo Mask's Love Letter\""",,,cwwXx,tfYa1tQ,KydpF
"\""Usagi kangeki! Takishīdo Kamen no rabu retā\"" (うさぎ感激!タキシード仮面の恋文)""","July 25, 1992","October 2, 1995",,,sGNeDak,Ngs105,VkaiE
20,--,\The Summer! The Ocean! Our Youth! And a Ghost," Too\""",,UAKzfL,vcJkW,wAElgE
"\""Natsu yo Umi yo Seishun yo! Omake ni yūrei mo yo!\"" (夏よ海よ青春よ!おまけに幽霊もよ!)""","August 1, 1992",N/A,,,wRDibg,w0Ad02Os,tyzUwyI
21,17,"\An Animated Mess\"" / \""Protect the Children's Dreams! Friendship Linked by Anime\""",,,XoQzft,hha3n,PCKthZ
"\""Kodomotachi no yume mamore! Anime ni musubu yūjō\"" (子供達の夢守れ!アニメに結ぶ友情)""","August 8, 1992","October 3, 1995",,,LSngXdE,rqtzz5V,zPZBCh
