No.,Dub No.,English dubbed title / English subbed titleOriginal Japanese title,Original air date,English air date,Filler_1,Extra_Data_2
32,28,"\Tuxedo Melvin\"" / \""Umino's Resolve! I'll Protect Naru\""",,,gLeFZGQK,217
"\""Umino no kesshin! Naru-chan wa boku ga mamoru\"" (海野の決心!なるちゃんは僕が守る)""","November 14, 1992","October 18, 1995",,,RroQf,17
33,29,"\Sailor V Makes the Scene\"" / \""The Last Sailor Warrior"," Sailor Venus Appears\""",,DKTWrtd,721
"\""Saigo no Sērā Senshi"," Vīnasu tōjō\"" (最後のセーラー戦士"," ヴィーナス登場)""","November 21, 1992","October 19, 1995",cZhgW,665
34,30,"\A Crystal Clear Destiny\"" / \""The Sparkling Silver Crystal! The Moon Princess Appears\""",,,XPGwb,39
"\""Hikari kagayaku ginzuishō! Tsuki no purinsesu tōjō\"" (光輝く銀水晶!月のプリンセス登場)""","November 28, 1992","October 20, 1995",,,CNmqCXM,474
35,31,"\A Reluctant Princess\"" / \""Memories Return! Usagi and Mamoru's Past\""",,,RbfNz,979
"\""Yomigaeru kioku! Usagi to Mamoru no kako\"" (よみがえる記憶!うさぎと衛の過去)""","December 5, 1992","October 23, 1995",,,KQSDRdki,594
36,32,"\Bad Hair Day\"" / \""Usagi is Confused! Is Tuxedo Mask Evil?\""",,,hndjj,417
"\""Usagi konran! Takishīdo Kamen wa aku?\"" (うさぎ混乱!タキシード仮面は悪?)""","December 12, 1992","October 24, 1995",,,vglaEL,6
