Name,Date,Nation,Displacement,Speed,Number,Notes
River-class frigates,1942,UK,"1,370 tons",20 knots,151,
Type A kaibōkan,1943,Japan,870 tons,19 knots,18,
FMR-class,1943,US,"1,200 tons",21 knots,85,
GMT-class,1943,US,"1,140 tons",21 knots,72,
TE-class,1943,US,"1,400 tons",23 knots,102,
DET-class,1943,US,"1,240 tons",21 knots,72,
Tacoma-class frigate,1943,US,"1,430 tons",20 knots,96,
Type B kaibōkan,1943,Japan,940 tons,19 knots,37,
Loch-class frigates,1944,UK,"1,435 tons",20 knots,30,
WGT-class,1944,US,"1,350 tons",24 knots,87,
