Genre,Date,Japanese title (Original title),English title,Scoring,Notes,Filler_1,Irrelevant_2
Concertante,1984,虹へ向かって、パルマ,"Vers, l'arc-en-ciel, Palma","for oboe d'amore, guitar and orchestra",,oBOpXDkH,C6goYr2
Concertante,1984,オリオンとプレアデス,Orion and Pleiades,for cello and orchestra,,BgSkrp,5WPKGQ4d
Concertante,1984,リヴァラン,Riverrun,for piano and orchestra,,ObPGg,lSYuFGQ
Concertante,1971–1986,ジェモー,Gémeaux,"for oboe, trombone, 2 orchestras and 2 conductors",,RrYqPFZt,5ni2t
Concertante,1987,ウォーター・ドリーミング,I Hear the Water Dreaming,for flute and orchestra,,IGQohV,fiWbVGF
Concertante,1987,ノスタルジア – アンドレイ・タルコフスキーの追憶に –,Nostalghia: In Memory of Andrej Tarkovskij,for violin and string orchestra,composed in memory of filmmaker Andrei Tarkovsky,WbQzCF,wJs7g
Concertante,1987,夕暮れに,Yūgure ni,for orchestra,arrangement,ldDWJo,WzWFb
Concertante,1989,ア・ストリング・アラウンド・オータム,A String around Autumn,for viola and orchestra,,wKsxHoHx,qfhqGXF6
Concertante,1990,フロム・ミー・フロウズ・ワット・ユー・コール・タイム,From Me Flows What You Call Time,for 5 percussionists and orchestra,,VSLfgdlI,U1eLTtN
Concertante,1991,ファンタズマ/カントス,Fantasma/Cantos,for clarinet and orchestra,winner of the 1994 Grawemeyer Award for Music Composition,jPhdpE,yClhdbTX
Concertante,1991,"夢の引用 – Say Sea, take me! –","Quotation the Dream: Say Sea, Take Me!",for 2 pianos and orchestra,,OVOao,CTiWq
Concertante,1994,ファンタズマ/カントス II,Fantasma/Cantos II,for trombone and orchestra,,skmfkVlX,Fm9Rko1D
Concertante,1995,スペクトラル・カンティクル,Spectral Canticle,"for violin, guitar and orchestra",,rVBGIa,l51j34U
Concertante,1995,ミロの彫刻のように,Comme la Sculpture de Miró,"for flute, harp and orchestra",incomplete; Takemitsu's last work inspired by the sculpture of Joan Miró,uHIJBMSl,aJeinHQd
Chamber music,"1951, 1989",妖精の距離,Distance de fée,for violin and piano,,iBzFjo,2SR3y
Chamber music,1955,室内協奏曲,Concerto de chambre,for 13 instruments,,xBlNZS,sMnita4w
Chamber music,1958,ソン・カリグラフィ I,Le Son-calligraphié I,"for 4 violins, 2 violas and 2 cellos",,aQYjXmA,0ZKCr
Chamber music,1958,ソン・カリグラフィ II,Le Son-calligraphié II,"for 4 violins, 2 violas and 2 cellos",,mmhEZ,7sbvI
Chamber music,1959,シーン,Scene,for cello and piano,also for cello and string orchestra,ecjwu,dNBra
Chamber music,1959–1960,マスク,Masque,for 2 flutes,,iKufvcrc,sYvMZY
Chamber music,1960,ソン・カリグラフィ III,Le Son-calligraphié III,"for 4 violins, 2 violas and 2 cellos",,ERMoPY,ntB0jh0G
Chamber music,1960,ランドスケープ,Landscape,"for 2 violins, viola and cello",,JdUUzf,oWMOsm
Chamber music,1961,リング,Ring,"for flute, terz guitar and lute",,uoAmmUM,cDU0QxtT
Chamber music,1961,不良少年,Bad Boy,for 3 guitars,arranged for 2 guitars by Norio Sato,inrLUf,maADN
Chamber music,1962,サクリファイス,Sacrifice,"for alto flute, lute and vibraphone with antique cymbales",,iLgOoMmN,3i6wZxta
Chamber music,1964,一柳慧のためのブルー・オーロラ,Blue Aurora for Toshi Ichiyanagi,,chance operation composition for Toshi Ichiyanagi,OvOUvbt,GMHGK
Chamber music,1965,ソナント,Sonant,"for 2 flutes, violin, cello, guitar and 2 bandoneons",revised as Valeria in 1969,vsrtST,b7OLYI
Chamber music,"1965, 1969",ヴァレリア,Valeria,"for violin, cello, guitar, electronic organ and 2 piccolos",revised version of Sonant (1965),BNIgZa,4kwl8r
Chamber music,1966,悲歌,Hika (Elegy),for violin and piano,,qTZKCrP,kLqdid9
Chamber music,1966,エクリプス<蝕>,Eclipse,for biwa and shakuhachi,,VOVVmM,lxsI07a
Chamber music,1968,クロス・トーク,Cross Talk,for bandoneón and tape,,LBVnxHU,2krhoR5
Chamber music,1969,スタンザ I,Stanza I,"for guitar, harp, piano (also celesta), vibraphone and female voice (soprano)",,foGsG,wPytz
Chamber music,1970,四季,Seasons,"for 4 percussion players, or 1 percussion player and tape",also version for traditional Japanese musical instruments,PoiusMe,ME3CJ
Chamber music,1967–1971,ムナーリ・バイ・ムナーリ,Munari by Munari,for percussion,,DGwkqV,eVfEov
Chamber music,1971,声（ヴォイス）,Voice,for flute,,UDpdN,qU6Ej3t
Chamber music,1971,ユーカリプスII,Eucalypts II,"for flute, oboe and harp",,eoJnyk,ooB8W
Chamber music,1971,スタンザII,Stanza II,for harp and tape,,hzDGQYA,sCv2SEYT
Chamber music,1972,ディスタンス,Distance,for oboe and shō ad libitum,,KQMLI,IrRZWo
Chamber music,1973,旅,Voyage,for 3 biwa,,XeVlrpF,JWZE6
Chamber music,1974,ガーデン・レイン,Garden Rain,"for brass ensemble (horn, 4 trumpets, 4 trombones, tuba)",,jPuWkYSB,DcNL1oZ6
Chamber music,1974,フォリオス,FoliosFolio IFolio IIFolio III,for guitar,,oltfhUM,FmLfEby
Chamber music,1974–1977,ギターのための12のうたロンドンデリーの歌オーバー・ザ・レインボーサマータイム早春賦失われた恋星の世界シークレット・ラヴヒア・ゼア・アンド・エヴリウェアミッシェルヘイ・ジュードイエスタデイインターナショナル,"12 Songs for GuitarLondonderry AirOver the RainbowSummertimeA Song of Early SpringAmours PerduesWhat a FriendSecret LoveHere, There and EverywhereMichelleHey JudeYesterdayThe International",for guitar,transcriptions1. Irish folk song2. music by Harold Arlen3. music by George Gershwin4. music by Akira Nakada (中田章)5. music by Joseph Kosma6. music by Charles Crozat Converse7. music by Sammy Fain8.~11. music by The Beatles: Paul McCartney and John Lennon12. music by Pierre De Geyter,yhlGW,enipxI0G
