Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Keyboard,1962,ピアニストのためのコロナ,Corona for Pianist(s)Study for VibrationStudy for IntonationStudy for ArticulationStudy for ExpressionStudy for Conversation,for 1 or more pianos,uses graphic notation; written in collaboration with Kōhei Sugiura
Keyboard,1973,フォー・アウェイ,For Away,for piano,
Keyboard,1978,こどものためのピアノ小品微風雲,Piano Pieces for ChildrenBreezeClouds,for piano,
Keyboard,1979,閉じた眼 – 瀧口修造の追憶に –,Les Yeux clos: In Memory of Shuzo Takiguchi,for piano,composed in memory of Japanese poet Shūzō Takiguchi (瀧口修造)
Keyboard,1982,雨の樹素描,Rain Tree Sketch,for piano,
Keyboard,1986,夢見る雨,Rain Dreaming,for harpsichord,
Keyboard,1988,閉じた眼 II,Les Yeux clos II,for piano,
Keyboard,1989,リタニ – マイケル・ヴァイナーの追憶に –,Litany: In Memory of Michael VynerAdagioLento misterioso,for piano,composed in memory of Michael Vyner; revision of Lento in due movimenti (1950)
Keyboard,1992,雨の樹素描 II – オリヴィエ・メシアンの追憶に –,Rain Tree Sketch II: In Memory of Olivier Messiaen,for piano,composed in memory of composer Olivier Messiaen
Keyboard,1992,ゴールデン・スランバーズ,Golden Slumbers,for piano,arrangement from Abbey Road by The Beatles
Choral,1953,美幌町町歌,Bihoro Song,,"City song for Bihoro, Hokkaidō; words by Kōichi Ōshita (大下孝一)"
Choral,1961–1966,風の馬,Wind HorseVocalise ISpell of FingersVocalise IIVocalise IIILegend of the Dining Table and Coda,for mixed chorus,
Choral,1963,三重県立四日市南高等学校校歌,"Yokkaichi Minami High School Song, Yokkaichi, Mie",,School song; words by Shuntarō Tanikawa
Choral,1963,三重県伊賀市上野西小学校校歌,"Kamino Nishi Elementary School Song, Iga, Mie",,School song; words by Keiji Hashimoto (橋本鶏二)
Choral,1969,クロッシング,CrossingAccording to What,"for 2 orchestras with soloists (guitar, harp, piano/celeste, vibraphone) and female chorus",
Choral,1982,芝生,Grass,for male chorus,words by Shuntarō Tanikawa; English words by W. S. Merwin; commissioned by the Harvard Glee Club
Choral,1983,東村山市久米川東小学校校歌,"Kumegawahigashi Elementary School Song, Higashimurayama, Tokyo",,School song; words by Shuntarō Tanikawa
Choral,1987,手作り諺 – 四つのポップ・ソング –,"Handmade Proverbs, 4 Pop SongsYour EyesThree BonzesCinderella's MisfortuneA Farewell Gift",for 6 male voices,words by Shūzō Takiguchi (瀧口修造)
Choral,1990,マイ・ウェイ・オブ・ライフ　-マイケル・ヴァイナーの追憶に,My Way of Life: In Memory of Michael Vyner,"for baritone, mixed chorus and orchestra",composed in memory of Michael Vyner
Choral,1991,秋葉学園歌,Akiba Gakuen Song,,School song; words by Makoto Ooka
Vocal,1950s,MI・YO・TA,MI・YO・TA,for voice and piano,early melody for a film score that remained used; completed in 1996 after Takemitsu's death by Toshirō Mayuzumi; words by Shuntarō Tanikawa
Vocal,1954,さようなら,Sayōnara,for voice and piano,words by Kuniharu Akiyama (秋山邦晴)
Vocal,1955,小さな部屋で,In a Small Room (Chiisana heya de),for voice and piano,words by Akira Kawaji (川路明)
Vocal,1958,うたうだけ,I Just Sing (Utau dake),for voice and piano,words by Shuntarō Tanikawa
Vocal,1958,黒い絵画 レオノーレ・フィニによせて,Tableau Noir,for speaker and chamber orchestra,words by Kuniharu Akiyama (秋山邦晴); inspired by the art of Leonor Fini
Vocal,1961,恋のかくれんぼ,The Game of Love (Koi no kakurenbo),for voice and piano,words by Shuntarō Tanikawa
Vocal,1961,○と△の歌,A Song of ○'s (Circles) and △'s (Triangles) (Maru to sankaku no uta),for voice and piano,words by the composer
Vocal,1962,環礁,Coral Island,for soprano and orchestra,words by Makoto Ōoka
Vocal,1962,小さな空,Small Sky (Chiisana sora),for voice and piano,words by the composer
Vocal,1963,雪,La Neige (Yuki),for voice and piano,French words by Shin'ichi Segi (瀬木慎一); theme song from the 1963 film White and Black (白と黒)
Vocal,1963,見えないこども,Unseen Child (Mienai kodomo),for voice and piano,words by Shuntarō Tanikawa
Vocal,1963,雲に向かって起つ,Take Off for the Clouds (Kumo ni mukatte tatsu),,song for a television drama; words by Shuntarō Tanikawa
Vocal,1963,素晴らしい悪女,A Marvelous Kid (Subarashii akujo),for voice and piano,Spanish words by Fumio Nagata (永田文夫); theme song from the 1978 film A Marvelous Kid
Vocal,1965,三月のうた,In the Month of March (Sangatsu no uta),for voice and piano,words by Shuntarō Tanikawa
Vocal,1965,死んだ男の残したものは,All That the Man Left Behind When He Died (Shinda otoko no nokoshita mono wa),for voice and piano,words by Shuntarō Tanikawa
Vocal,1966,ワルツ,Waltz,for voice and piano,German words by Tatsuji Iwabuchi (岩淵達治); from the 1966 film The Face of Another
Vocal,1968,めぐり逢い,The Encounter (Meguriai),for voice and piano,words by Ichirō Araki (荒木一郎); theme song from the 1968 film Two Hearts in the Rain
Vocal,1978,燃える秋,Glowing Autumn (Moeru aki),for voice and piano,words by Hiroyuki Itsuki (五木寛之); theme song from the 1978 film Glowing Autumn
Vocal,1978,翼,Wings (Tsubasa),for voice and piano,words by the composer
Vocal,1979,さくら さくら,Sakura Sakura,for voice and piano,Japanese folk song
Vocal,1983,島へ,To the Island (Shima e),for voice and piano,words by Mitsuru Izawa
Vocal,1985,明日ハ晴レカナ、曇リカナ,"Will Tomorrow, I Wonder, Be Cloudy or Clear? (Ashita wa hare kana, kumori kana)",for voice and piano,words by the composer
