,Date of Award,Honour/Award Title,Reason for Award,Awarding Body
1,1973,Lenin Peace Prize,,USSR
2,1980,Frederic Joliot Curie Gold Medal,,
3,1984,Medaglia Pontificia (Pope's Medal) Anno VI,,"The Vatican City,Italy"
4,1988,Grant Master Order Merit: The Grant Cruz (Highest Order),,Brazil
5,1988,Ho Chi Minh Peace Award,,Vietnam
6,1988,The Namibia Freedom Award,For his leadership role in the struggle against apartheid,"California State University, USA"
7,1988,Honorary Citizenship of the City of Atlanta,"For his leadership role in the struggle for freedom, national independence and social justice","Atlanta, USA"
8,1988,Recognition granted,,City and County of San Francisco
9,1988,Recognition granted,,City of Chicago
10,1988,Recognition granted,,City of East Palo Alto
11,1990,Indira Gandhi Peace Prize for Disarmament and Development,In recognition of his outstanding contribution in leading the people of Namibia to freedom,India
12,1991,Medaglia Pontificia (Pope's Medal) Anno XIII,,"The Vatican City, Italy"
13,1991,Order of José Marti,,Cuba
14,1991,Ordre du Merite Congo,,Republic of Congo
15,1992,Chief of Golden Heart,,Kenya
