,Date of Award,Honour/Award Title,Reason for Award,Awarding Body,Unused_1,Filler_2
16,1992,Order of the National Flag (First Class),,Democratic People's Republic of Korea,,vBAzeDuW
17,1994,"\Grand Cordon\"" Decoration""",,Tunisia,,aHwNpuZ
18,1995,Grand Master of the Order of Welwitschia,,Namibia,,iknRA
19,1995,Order of Liberty (Highest Cross),,Portugal,,hcNxXb
20,1995,Africa Prize for Leadership for the Sustainable End of Hunger,,The Hunger Project,,vWFWLNsP
21,1996,Order of Good Hope (Gold),,South Africa,,EmyLvYrt
22,2002,Order of Friendship Award,,Vietnam,,QJYTLq
23,2003,O.B.F.F.S.,,Romania,,SzpsS
24,2003,Fellowship Award of the Institute of Governance and Social Research,"In recognition of his contribution to the liberation of his country, the establishment of Democratic foundation, peace and Political stability in Namibia, and the enhancement of the dignity of the Black Man","Institute of Governance and Social Research, Nigeria",,CqpwwK
25,2004,Companion of the Order of the Star of Ghana (Ghana National Highest Award),As an expression of respect and admiration of the Government and people of Ghana,Ghana,,NvhpuQcU
26,2004,Founding President of the Republic of Namibia and Father of the Namibian Nation,In recognition of his dedication to his selfless sacrifice to the national liberation struggle and nation building,Namibian Parliament,,ABUglO
27,2004,Lifetime Conservation Award,,Cheetah Conservation Fund (Nujoma is the international patron of this organisation since 1991),,brQWpPk
28,2008,International KIM IL Sung Prize Certificate,,India,,BtJUIV
29,2010,Sir Seretse Khama SADC Meda,,SADC,,PqXPzG
