Location,Reactor type,Status,NetCapacity(MWe),GrossCapacity(MWe),Extra_Data_1,Unused_2,Dummy_Col_3
Kursk-2,RBMK-1000,operational until 2024,925,"1,000",470,,pgcLhVTP
Kursk-3,RBMK-1000,operational until March 2014,925,"1,000",498,,TZRZSJ
Kursk-4,RBMK-1000,operational until February 2016,925,"1,000",556,,HdjYaGb
Kursk-5,MKER-1000,"construction begin was 1985, since then shelved",925,"1,000",708,,mpCfwVHm
Kursk-6,RBMK-1000,construction cancelled in 1993,925,"1,000",127,,gbJmYn
Leningrad-1,RBMK-1000,operational,925,"1,000",841,,KcYitthO
Leningrad-2,RBMK-1000,operational until 2021,925,"1,000",347,,BCsEUQjY
Leningrad-3,RBMK-1000,operational until June 2025,925,"1,000",897,,BMGdmfX
Leningrad-4,RBMK-1000,operational until August 2026,925,"1,000",1,,IDWyIWY
Smolensk-1,RBMK-1000,operational until December 2022,925,"1,000",736,,ZPvLydc
Smolensk-2,RBMK-1000,operational until July 2015,925,"1,000",325,,GfBDe
Smolensk-3,RBMK-1000,operational until July 2023,925,"1,000",996,,uStQQNVk
Smolensk-4,RBMK-1000,construction cancelled in 1993,925,"1,000",977,,OqzaE
