Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s),Irrelevant_1,Dummy_Col_2
34th,2013,Sean Hehir (IRL),2:18:19,Maria McCambridge (IRL),2:38:51,lE1ynk,HRfKm
33rd,2012,Geoffrey Ndungu (KEN),2:11:09,Magdalene Mukunza (KEN),2:30:46,0uJlp3,xVogE
32nd,2011,Geoffrey Ndungu (KEN),2:08:33,Helalia Johannes (NAM),2:30:33,i83MH,qvXCn
31st,2010,Moses Kangogo Kibet (KEN),2:08:58,Tatyana Aryasova (RUS),2:26:13,Sm8Ecz,GvdjOFYA
30th,2009,Feyisa Lilesa (ETH),2:09:11,Kateryna Stetsenko (UKR),2:32:45,l6W3I,BLXRq
29th,2008,Andriy Naumov (UKR),2:11:06,Larisa Zyuzko (RUS),2:29:55,wzQMy,VmHDPnDi
28th,2007,Aleksey Sokolov (RUS),2:09:07,Alina Ivanova (RUS),2:29:20,s4NoM7MQ,TudYOV
27th,2006,Aleksey Sokolov (RUS),2:11:39,Alina Ivanova (RUS),2:29:49,ULpjw2Zf,ECdiyAQ
26th,2005,Dmytro Osadchyy (UKR),2:13:14,Zinaida Semenova (RUS),2:32:53,WogpBRmR,MHtuOAIX
25th,2004,Lezan Kipkosgei Kimutai (KEN),2:13:07,Yelena Burykina (RUS),2:32:53,7sdaRL,zPqUj
24th,2003,Onesmus Musyoka Kilonzo (KEN),2:17:03,Ruth Kutol (KEN),2:27:22,KHhWK,zhtuK
23rd,2002,Frederick Cherono (KEN),2:14:25,Lidiya Vasilevskaya (RUS),2:32:58,qoxqrPRU,juBjylp
