Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes,Random_Column_1,Filler_2,Random_Column_3
1951,Superman and the Mole Men,DC Comics,Lee Sholem,Lippert Pictures Inc.,,Based on Adventures of Superman TV series,bnABpaTS,FwiWJX,KgZkQ
1966,Batman,DC Comics,Leslie H. Martinson,20th Century Fox,"$1,700,000 (est.US/ Canada rentals)",Based on Batman TV series,NmzFyv1P,xYdyYpu,EA4Yqv
1977,"Abar, the First Black Superman",Original,Frank Packard,Mirror Releasing,,,3tmG2a,vlxJWj,0p6Whn
1978,Superman,DC Comics,Richard Donner,Warner Bros.,"$300,218,018",,Soyh2ELm,urbku,fkG8A28
1978,Dr. Strange,Marvel Comics,Philip DeGuere,MCA Home Video,Television film,,ohbOOj,wuKYYkp,ToAooJU
1978,Kiss Meets the Phantom of the Park,Hanna-Barbera,Gordon Hessler,NBC,Television film,Based on the rock band Kiss,CA0Nr,ThzMH,hBKmL
1980,Superman II,DC Comics,Richard Lester,Warner Bros.,"$108,185,706",Sequel to 1978's Superman,BB6Gd,JXrNaeqB,xXeqYVz
1980,Hero at Large,Original,Martin Davidson,Metro-Goldwyn-Mayer,"$15,934,737",,r75sM80,xpmVcGYa,yocCPL
1981,Condorman,Original,Charles Jarrott,Walt Disney Pictures,"$287,434",,Lvm6II,YVJlcJ,Rw1OD9Fc
1982,Swamp Thing,DC Comics,Wes Craven,Embassy Pictures,"$287,434",,HgAiM,GCEhubA,RyfZMan0
1983,Superman III,DC Comics,Richard Lester,Warner Bros.,"$70,656,090",Sequel to 1980's Superman II,TMfPh,ZkVDOF,1rQ3D
1984,Supergirl,DC Comics,Jeannot Szwarc,"TriStar Pictures, Warner Bros.","$14,296,438",Spin-off to 1978's Superman,ugSxQg9o,OdjxaQp,rZ4o0DP
1984,The Toxic Avenger,Original,Lloyd Kaufman,"Troma Entertainment,","$800,000",,6J4CWP9A,egKiZSij,7ThGy
1986,Howard the Duck,Marvel Comics,Willard Huyck,Universal Pictures,"$37,962,774",,6j39iU,dEaxop,1VLsAS
