Represented,Contestant,Age,Height,Hometown,Extra_Data_1,Extra_Data_2,Random_Column_3
Azua,Patricia Tomas Ferro,21,1.78 m (5 ft 10 in),Santo Domingo,84,768,LZhGmBg
Bonao,Jeimi Vanessa Hernández Franjul,24,1.81 m (5 ft 11 1⁄4 in),Bonao,301,778,LS5wY
Comendador,Eva Duarte Sánchez,19,1.75 m (5 ft 9 in),San Felipe de Puerto Plata,210,304,BYqytQI
Com. Dom. Nueva York,Carol María Arciniegas Jiménez,20,1.78 m (5 ft 10 in),Washington Heights,839,337,oDAYN
Dajabón,Elizabeth Rondón García,18,1.75 m (5 ft 9 in),Loma de Cabrera,7,554,yVKtOJ
Distrito Nacional,Melanie Pimentel de Lara,26,1.69 m (5 ft 6 1⁄2 in),Los Alcarrizos,258,505,PhDHY
Duvergé,Yilda Santana Subervi,22,1.80 m (5 ft 10 3⁄4 in),Santo Domingo,792,458,87FxhZ7
El Seibo,Yorning Mateo Sâlves,18,1.68 m (5 ft 6 1⁄4 in),Santo Domingo,890,451,SiuYD
Hato Mayor,Sarah María Reyes Santos,20,1.75 m (5 ft 9 in),San Cristóbal,254,86,bBQMp
Jimaní,Ana María Beldaña Ferriera,23,1.70 m (5 ft 7 in),Santiago de los Caballeros,733,524,g3PDi2
