Genre,Year,Title,Role,Episodes,Notes
TV series,2006,Law & Order: Trial by Jury,Gus,"\Eros in the Upper Eighties\""""",
TV series,2008,The Big Gay Sketch Show,,,8 episodes; 16 episodes total
TV series,2008,Law & Order,Donnie,"\Sweetie\""""",2 episodes total
Film,2008,Miracle at St. Anna,West Indian Postal Customer,,
TV series,2009,Great Performances,Mr. Franklin/Mr. Venus/Joop,"\Passing Strange\""""",musical telecast
TV series,2010,The Big Gay Sketch Show,,,8 episodes; 16 episodes total
TV series,2010,Law & Order: Criminal Intent,Andre Lanier,"\Love Sick\""""",2 episodes total
Film,2012,Lincoln,Private Harold Green,,
Film,2012,Red Hook Summer,Blessing Rowe,,
Film,2013,42,Lawson Bowman,,
Film,2013,HairBrained,Finals Moderator,,
Film,2013,The Butler,Freddie Fallows,,
Film,2013,400 Boys,Talon,,
