Year,Name,Location,Notes,Irrelevant_1,Extra_Data_2,Random_Column_3
1896,Lake Compounce Carousel,"Lake Compounce, Bristol, Connecticut","originally located at Savin Rock, West Haven, Connecticut, moved to present location in 1911",yGf54,933,xu8M2
c. 1893,Roger Williams Park Carousel,"Providence, Rhode Island",replaced in 1937 with PTC #44,ZtzJSmf6,446,0e4fW
1894,The Looff Carousel at Slater Park,"Slater Memorial Park, Pawtucket, Rhode Island","originally located at Roger William's Park, Providence, RI. Moved to present location in 1910. Originally was fastest Looff carousel made-was slowed down recently. Listed on National Register of Historic Places.",9PVBX,535,hXbzHHv
1895,Fair Park Carousel,"Dallas, Texas","1958 to 1967: Pacific Ocean Park, Santa Monica, California; 1967 to 1982: Spanaway, Washington; 1982 to 1992: Willamette Center, Portland, Oregon; 1992 to 1997: AmeriFlora '92, Columbus, Ohio; 1997 to present: Media City Center Mall, Burbank, California, told to move 2004 to Present: Seaport Village, San Diego, California.",Dur8gN,321,ICVDQL
1895,Crescent Park Carousel,"Crescent Park, East Providence, Rhode Island","used by Looff as showcase for his work, all animals different; operational brass rings; Ruth & Sons organ; listed on National Register of Historic Places",lHpzjx,844,bLktFmAZ
1898,Canobie Lake Park Carousel,"Salem, New Hampshire",moved to present location in 1906,DkMzdR,733,OkZfa
1889 to 1907,Salisbury Beach Carousel,"Salisbury, Massachusetts",,h8W2CY3,809,W1AEF
1898 to 1907,Rosen Heights Carousel,"Fort Worth, Texas",,Zxs0J,554,SH4HKnw3
1900,Goddard Park Carousel,"Goddard Park, Warwick, Rhode Island","originally located at Lakeside Park, Syracuse, New York, moved 1908 to Rocky Point Amusement Park, Rhode Island and 1930 to present location",9FljXwTY,654,RuhpxhC
1903,Lakeside Park Carousel,"Lakeside Park, Port Dalhousie, Ontario",moved to present location in 1921,k12V0,474,WP8SGk
1905,Island Park Carousel,"Portsmouth, Rhode Island",survived 1938 hurricane,RRevRxgG,9,NbdhFBI
