State,Incumbent,Party,Result,Candidates
Oklahoma,A. S. Mike Monroney,Democratic,Re-elected,A. S. Mike Monroney (Democratic) 55.4%Douglas McKeever (Republican) 44.7%
Oregon,Wayne Morse,Democratic,Re-elected,Wayne Morse (Democratic) 54.2%Douglas McKay (Republican) 45.8%
Pennsylvania,James H. Duff,Republican,Lost re-electionDemocratic gain,Joseph S. Clark (Democratic) 50.1%James H. Duff (Republican) 49.7%
South Carolina,Olin B. Johnston,Democratic,Re-elected,Olin B. Johnston (Democratic) Unopposed
South CarolinaSpecial: Class 2,Thomas A. Wofford,Democratic,"Appointee retiredWinner elected to finish term ending January 3, 1961Democratic hold",Strom Thurmond (Democratic) Unopposed
South Dakota,Francis Case,Republican,Re-elected,Francis Case (Republican) 50.8%Kenneth Holum (Democratic) 49.2%
Utah,Wallace F. Bennett,Republican,Re-elected,Wallace F. Bennett (Republican) 54.0%Alonzo F. Hopkin (Democratic) 46.0%
Vermont,George D. Aiken,Republican,Re-elected,George D. Aiken (Republican) 66.4%Bernard G. O'Shea (Democratic) 33.6%
Washington,Warren G. Magnuson,Democratic,Re-elected,Warren G. Magnuson (Democratic) 61.1%Arthur B. Langlie (Republican) 38.9%
West VirginiaSpecial: Class 1,"William R. Laird, III",Democratic,"Appointee retiredWinner elected to finish term ending January 3, 1959Republican gain",Chapman Revercomb (Republican) 53.7%William C. Marland (Democratic) 46.3%
Wisconsin,Alexander Wiley,Republican,Re-elected,Alexander Wiley (Republican) 58.6%Henry W. Maier (Democratic) 41.2%
