Year,Song,Chart PositionsUS Country,Chart PositionsCAN Country,Album
1968,"\God Help You Woman\""""",32,24,singles only
1969,"\Please Take Me Back\""""",40,—,singles only
1969,"\I'm Not Through Loving You\""""",52,—,singles only
1969,"\Molly\""""",53,—,singles only
1973,"\I See His Love All Over You\""""",67,—,singles only
1974,"\Fool Passin' Through\""""",68,—,singles only
1974,"\Forgettin' 'Bout You\""""",51,—,singles only
1975,\One, Two," Three (Never Gonna Fall in Love Again)\""""",88
1975,\Woman," Woman\""""",43,46
1976,"\She's Free But She's Not Easy\""""",66,—,singles only
1977,"\Chasin' My Tail\""""",88,—,singles only
