Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
6°13′46″S 36°1′22″W﻿ / ﻿6.22944°S 36.02278°W,Santa Cruz,624.390 (241.077),"35,759",Agreste Potiguar,Borborema Potiguar
5°50′23″S 35°41′43″W﻿ / ﻿5.83972°S 35.69528°W,Santa Maria,219.572 (84.777),"4,762",Agreste Potiguar,Agreste Potiguar
5°57′27″S 36°39′20″W﻿ / ﻿5.95750°S 36.65556°W,Santana do Matos,"1,420.313 (548.383)","13,798",Central Potiguar,Serra de Santana
6°46′14″S 36°44′0″W﻿ / ﻿6.77056°S 36.73333°W,Santana do Seridó,188.402 (72.742),"2,526",Central Potiguar,Seridó Oriental
6°18′38″S 35°28′44″W﻿ / ﻿6.31056°S 35.47889°W,Santo Antônio,301.052 (116.236),"22,214",Agreste Potiguar,Agreste Potiguar
5°3′59″S 36°2′17″W﻿ / ﻿5.06639°S 36.03806°W,São Bento do Norte,288.637 (111.443),"2,974",Central Potiguar,Macau
6°20′30″S 36°5′14″W﻿ / ﻿6.34167°S 36.08722°W,São Bento do Trairi,190.816 (73.674),"3,909",Agreste Potiguar,Borborema Potiguar
6°22′35″S 37°11′4″W﻿ / ﻿6.37639°S 37.18444°W,São Fernando,404.415 (156.145),"3,401",Central Potiguar,Seridó Ocidental
5°58′30″S 38°9′6″W﻿ / ﻿5.97500°S 38.15167°W,São Francisco do Oeste,75.550 (29.170),"3,874",Oeste Potiguar,Pau dos Ferros
5°47′36″S 35°19′46″W﻿ / ﻿5.79333°S 35.32944°W,São Gonçalo do Amarante,251.308 (97.030),"87,700",Leste Potiguar,Macaíba
6°43′6″S 37°12′2″W﻿ / ﻿6.71833°S 37.20056°W,São João do Sabugi,277.010 (106.954),"5,914",Central Potiguar,Seridó Ocidental
6°4′29″S 35°14′16″W﻿ / ﻿6.07472°S 35.23778°W,São José de Mipibu,293.877 (113.466),"39,771",Leste Potiguar,Macaíba
5°47′36″S 35°42′50″W﻿ / ﻿5.79333°S 35.71389°W,São José do Campestre,341.403 (131.816),"12,359",Agreste Potiguar,Borborema Potiguar
6°26′57″S 36°52′40″W﻿ / ﻿6.44917°S 36.87778°W,São José do Seridó,174.504 (67.376),"4,231",Central Potiguar,Seridó Oriental
6°12′43″S 38°29′49″W﻿ / ﻿6.21194°S 38.49694°W,São Miguel,171.690 (66.290),"22,159",Oeste Potiguar,Serra de São Miguel
5°7′29″S 35°38′21″W﻿ / ﻿5.12472°S 35.63917°W,São Miguel do Gostoso,342.445 (132.218),"8,659",Leste Potiguar,Litoral Nordeste
