Rank,Census subdivision,Province,Type,"Land area(km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in % 2006–2011,Change in % 1996–2011
61,North Vancouver,British Columbia,district municipality,160.76,"84,412","82,562","82,310","80,418",2.2,5.0
62,Milton,Ontario,town,363.22,"84,362","53,939","31,471","32,104",56.5,162.8
63,Nanaimo,British Columbia,city,91.30,"83,810","78,692","73,000","70,130",6.5,18.0
64,Lethbridge,Alberta,city,122.36,"83,517","74,637","67,374","63,053",11.8,32.5
65,Niagara Falls,Ontario,city,209.71,"82,997","82,184","78,815","76,917",1.0,7.9
66,Repentigny,Quebec,ville,61.79,"82,000","76,237","72,218","70,677",7.6,16.0
67,Victoria,British Columbia,city,19.47,"80,017","78,057","74,125","73,405",2.5,9.0
68,Newmarket,Ontario,town,38.33,"79,978","74,295","65,788","57,125",7.6,40.0
69,Brossard,Quebec,ville,45.20,"79,273","71,154","65,026","65,927",11.4,20.2
70,Peterborough,Ontario,city,63.80,"78,698","74,898","71,446","69,742",4.4,12.8
