Station,Type,Latitude,Longitude,El. (m),Opened,Closed,Coordinates,Filler_1
"Woomera, Australia",Space Track,31º06'S,136º46'E,,,,31°06′S 136°46′E﻿ / ﻿31.100°S 136.767°E,EGJBZH
"Cadiz, Spain",Space Track,36º28'N,353º48'E,,,,36°28′N 6°12′W﻿ / ﻿36.467°N 6.200°W,jLkIbCT
"Shiraz, Iran",Space Track,29º38'N,52º31'E,,,,29°38′N 52°31′E﻿ / ﻿29.633°N 52.517°E,Xjpttic
"Curaçao, Netherlands West Indies",Space Track,12º05'N,291º10'E,,,,12°05′N 68°50′W﻿ / ﻿12.083°N 68.833°W,XHfsk
"Jupiter, Florida",Space Track,27º01'N,279º53'E,,,,27°01′N 80°07′W﻿ / ﻿27.017°N 80.117°W,RViOq
"Haleakala, Hawaii",Space Track,20º43'N,203º45'E,,,,20°43′N 156°15′W﻿ / ﻿20.717°N 156.250°W,wnGiI
"Villa Dolores, Argentina",Space Track,31º57'N,294º54'E,,,,31°57′N 65°06′E﻿ / ﻿31.950°N 65.100°E,DkNQnr
"Mitaka, Japan",Space Track,,,,,,,BcAqr
"Nani Tal, India",Space Track,,,,,,,OwixkkT
"Arequipa, Peru","Solar,Space Track",,,,,,,izxIZkc
