By-election,Date,Incumbent,Party,Winner,Party,Cause,Retained,Filler_1,Noise_Field_2
Stanstead,"January 22, 1908",Henry Lovell,Liberal,Charles Henry Lovell,Liberal,Death,Yes,rQxFHd,XvQcyP
Huron South,"January 22, 1908",Benjamin B. Gunn,Conservative,Murdo Young McLean,Liberal,Death,No,hyIdp,VkBMI
Nicolet,"December 30, 1907",Charles Ramsay Devlin,Liberal,Gustave-Adolphe-Narcisse Turcotte,Liberal,Resignation upon appointment to the provincial cabinet of Quebec,Yes,WoFBXmEK,AlcFfbv
City of Ottawa,"December 23, 1907",Napoléon Antoine Belcourt,Liberal,William H. Hutchison,Liberal,Called to the Senate,Yes,LlkgIO,IuvbZY
Labelle,"December 23, 1907",Henri Bourassa,Liberal,Charles Beautron Major,Liberal,Resignation to enter provincial politics,Yes,nZydH,PSYjp
York Centre,"December 23, 1907",Archibald Campbell,Liberal,Peter Douglas McLean,Liberal,Called to the Senate,Yes,PxcICoyQ,NrrYGN
Colchester,"November 28, 1907",Frederick Andrew Laurence,Liberal,John Stanfield,Conservative,Appointed a judge,No,eaXTDKGY,sVXRHLs
London,"October 29, 1907",C. S. Hyman,Liberal,Thomas Beattie,Conservative,Resignation,No,AFmaUPs,HPNrzE
Northumberland East,"October 29, 1907",Edward Cochrane,Conservative,Charles Lewis Owen,Conservative,Death,Yes,vpAbRk,hSFFflQs
Wellington North,"October 29, 1907",Thomas Martin,Liberal,Alexander Munro Martin,Liberal,Death,Yes,YbUAOy,TlempFO
Brockville,"September 18, 1907",Daniel Derbyshire,Liberal,George Perry Graham,Liberal,Called to the Senate,Yes,rHdAw,EcGkQktN
City and County of St. John,"September 18, 1907",Alfred Stockton,Conservative,William Pugsley,Liberal,Death,No,nuEMCs,wrnSbtD
