By-election,Date,Incumbent,Party,Winner,Party,Cause,Retained,Noise_Field_1,Extra_Data_2
Richelieu,"March 7, 1907",Arthur-Aimé Bruneau,Liberal,Adélard Lanctôt,Liberal,Appointed a judge of the Superior Court of Quebec,Yes,ttbSl,122
L'Assomption,"March 7, 1907",Romuald-Charlemagne Laurier,Liberal,Ruben Charles Laurier,Liberal,Death,Yes,MyoSf,93
Victoria,"March 5, 1907",John Costigan,Liberal,Pius Michaud,Liberal,Called to the Senate,Yes,WWyGab,448
Three Rivers and St. Maurice,"February 28, 1907",Jacques Bureau,Liberal,Jacques Bureau,Liberal,Recontested upon appointment as Solicitor General,Yes,HZexSHU,338
Nicolet,"December 29, 1906",Rodolphe Lemieux,Liberal,Charles Ramsay Devlin,Liberal,Chose to sit for Gaspé,Yes,DQrJQsea,352
St. Ann,"November 21, 1906",Daniel Gallery,Liberal,Joseph Charles Walsh,Liberal,Election declared void,Yes,kxjghMT,396
St. Mary,"November 21, 1906",Camille Piché,Liberal,Médéric Martin,Liberal,Appointed Police Magistrate in Montreal.,Yes,OqDGb,430
Shelburne and Queen's,"October 31, 1906",William Stevens Fielding,Liberal,William Stevens Fielding,Liberal,Election declared void,Yes,otEPevD,360
Bruce North,"October 30, 1906",Leonard Thomas Bland,Liberal-Conservative,John Tolmie,Liberal,Death,No,vXYbaO,21
Quebec County,"October 23, 1906",Charles Fitzpatrick,Liberal,Lorenzo Robitaille,Independent Liberal,Appointed Chief Justice of the Supreme Court of Canada,No,xUMSCs,722
St. Johns—Iberville,"October 16, 1906",Louis Philippe Demers,Liberal,Marie Joseph Demers,Liberal,Appointed Puisne Judge of the Superior Court of Quebec,Yes,vwshV,322
