Rank,City,Population (2011),Population (2001),State/Territory,Noise_Field_1,Extra_Data_2
81,Kolhapur,"549,283","493,167",Maharashtra,yLSfVU,761
82,Ajmer,"542,580","485,575",Rajasthan,JGjwWH,319
83,Gulbarga,"532,031","422,569",Karnataka,xxEwTc,104
84,Jamnagar,"529,308","443,518",Gujarat,bNdryan,692
85,Ujjain,"515,215","430,427",Madhya Pradesh,InOhuq,702
86,Loni,"512,296","120,945",Uttar Pradesh,oimcLAun,824
87,Siliguri,"509,709","472,374",West Bengal,tXQHig,629
88,Jhansi,"507,293","383,644",Uttar Pradesh,MwhTZ,493
89,Ulhasnagar,"506,937","473,731",Maharashtra,UUIHVM,544
90,Nellore,"505,258","378,428",Andhra Pradesh,MAccHy,290
91,Jammu,"503,690","369,959",Jammu and Kashmir,KJbuki,645
92,Sangli-Miraj & Kupwad,"502,697","436,781",Maharashtra,gKqWGnJ,297
93,Belgaum,"488,292","399,653",Karnataka,CJlwh,169
94,Ambattur,"478,134","310,967",Tamil Nadu,IQibwJ,403
95,Tirunelveli,"474,838","411,831",Tamil Nadu,IPTfA,610
96,Malegaon,"471,006","409,403",Maharashtra,wyiBxSk,16
97,Gaya,"463,454","385,432",Bihar,vfWjDprk,321
98,Jalgaon,"460,468","368,618",Maharashtra,taKtANyc,848
99,Udaipur,"451,735","389,438",Rajasthan,tBkLs,669
100,Maheshtala,"449,423","385,266",West Bengal,SGaUn,129
