Rank,City,Population (2011),Population (2001),State/Territory
121,Bhilwara,"360,009","280,128",Rajasthan
122,Brahmapur,"355,823","307,792",Orissa
123,Muzaffarpur,"351,838","305,525",Bihar
124,Ahmednagar,"350,905","307,615",Maharashtra
125,Mathura,"349,336","302,770",Uttar Pradesh
126,Kollam (Quilon),"349,033","361,560",Kerala
127,Avadi,"344,701","229,403",Tamil Nadu
128,Rajahmundry,"343,903","315,251",Andhra Pradesh
129,Kadapa,"341,823","125,725",Andhra Pradesh
130,Kamarhati,"336,579","314,507",West Bengal
131,Bilaspur,"330,106","274,917",Chhattisgarh
132,Shahjahanpur,"327,975","296,662",Uttar Pradesh
133,Bijapur,"326,360","228,175",Karnataka
134,Rampur,"325,248","281,494",Uttar Pradesh
135,Shivamogga (Shimoga),"322,428","274,352",Karnataka
136,Chandrapur,"321,036","289,450",Maharashtra
137,Junagadh,"320,250","168,686",Gujarat
138,Thrissur,"315,596","317,526",Kerala
139,Alwar,"315,310","260,593",Rajasthan
140,Bardhaman,"314,638","285,602",West Bengal
