Year,Location(s),Number of contestants,Ladies winner,Men's winner,Unused_1,Random_Column_2
1965,"Skåne, Blekinge, Denmark",156,Sweden Inga-Britt Bengtsson,Sweden Nils Bohman,,4Ci9VvR
1966,"Småland (4), Västergötland",672,Sweden Kerstin Granstedt,Finland Juhani Salmenkylä,,IEAZSX
1967,Motala,1 910,Sweden Ulla Lindkvist,Sweden Kalle Johansson,,QABVF
1968,Borås,3 250,Sweden Ulla Lindkvist,Norway Åge Hadler,,iCM3l8Tq
1969,Rommehed,5 355,Sweden Ulla Lindkvist,Sweden Stefan Green,,Kw8wNN
1970,Kristianstad,6 378,Sweden Ulla Lindkvist,Sweden Bernt Frilén,,PKaAE
1971,Malmköping,8 627,Sweden Ulla Lindkvist,Sweden Hans Aurell,,YZeA2jr
1972,Eksjö,8 253,Sweden Ulla Lindkvist,Sweden Hans Aurell,,0x22wXMY
1973,Rättvik,10 449,Sweden Ulla Lindkvist,Sweden Bengt Gustafsson,,i1hQ6B
1974,Kristianstad,10 196,Sweden Ulla Lindkvist,Sweden Ernst Jönsson,,BbyBC
1975,Haninge,9 322,Sweden Anne Lundmark,Finland Matti Mäkinen,,Pp8cI
