Name,Location served,Governorate,Utilization,Helipads,Runways,Shelters,Squadrons,Coordinates,Random_Column_1
Abu al-Duhur Military Airbase,Abu al-Duhur,Aleppo,Military,0,1,20,678 Squadron MiG-23MS2 Squadron L-39ZO? Squadron L-39ZO,35°43′55″N 37°06′15″E﻿ / ﻿35.73194°N 37.10417°E,Rs4anakd
Al-Qusayr Military Airbase,Al-Qusayr,Homs,Military,0,1,16,825 Squadron MiG-21Bis826 Squadron Su-27SK (unconfirmed),34°34′08″N 36°34′22″E﻿ / ﻿34.56889°N 36.57278°E,Kqqqwi
Al-Nasiriyah Military Airbase,Al-Nasiriyah,Damascus,Military,0,1,20,695 Squadron MiG-23BN/UB698 Squadron MiG-23BN/UB,33°55′08″N 36°51′59″E﻿ / ﻿33.91889°N 36.86639°E,WrVasbr
Al-Nayrab Military Airbase,"Al-Nayrab, Aleppo",Aleppo,Military,,,,,36°11′05″N 37°12′57″E﻿ / ﻿36.18472°N 37.21583°E,zt8qf2I8
Tha'lah Military Airbase,Tha'lah,As-Suwayda,Military,0,1,16,765 Squadron Mi-25766 Squadron Mi-25,32°42′19″N 36°24′46″E﻿ / ﻿32.70528°N 36.41278°E,bepEUlP
Al-Dumayr Military Airport,Al-Dumayr,Damascus,Military,0,1,52,67 Squadron MiG-23ML? Squadron Su-22M-2,33°36′35″N 36°44′56″E﻿ / ﻿33.60972°N 36.74889°E,R8nKZYBV
Hama Military Airport,Hama,Hama,Military,10,1,20,679 Squadron MiG-21MF/UM680 Squadron MiG-21MF/UM? Squadron MiG-29,35°07′05″N 36°42′40″E﻿ / ﻿35.11806°N 36.71111°E,adPyt
Hamdan Military Airbase,Abu Kamal,Deir ez-Zor,Military,,,,,34°28′55″N 40°53′51″E﻿ / ﻿34.48194°N 40.89750°E,moGIcu4E
Jirah Military Airbase,Jirah,Aleppo,Military,0,1,12,? Squadron L-39ZA,36°05′48″N 37°56′11″E﻿ / ﻿36.09667°N 37.93639°E,StQ7LaYF
Khalkhalah Military Airbase,Khalkhalah,As-Suwayda,Military,20,2,30,945 Squadron MiG-21Bis946 Squadron MiG-21Bis,33°03′40″N 36°33′08″E﻿ / ﻿33.06111°N 36.55222°E,586ACycB
Kowaires Military Airbase,Kowaires,Aleppo,MilitaryFlight Training School,0,1,11,"3 Squadron L-39ZA, MBB 223 Flamingo",36°11′13″N 37°34′59″E﻿ / ﻿36.18694°N 37.58306°E,UhZIVaHV
