Typ,Construction Time,Cylinders,Capacity,Power,Top speed
"Primus 1,7 A",1933–1936,4 inline,"1,645 cc",28 kW (38 PS),95 km/h (59 mph)
"Trumpf 1,7 AV",1933–1936,4 inline,"1,645 cc",28 kW (38 PS),100 km/h (62 mph)
Diplomat,1934–1938,6 inline,"2,916 cc",44–48 kW (60–65 PS),100 km/h (62 mph)–105 km/h (65 mph)
Trumpf Junior 1G/E,1934–1941,4 inline,995 cc,"18,4 kW (25 PS)",90 km/h (56 mph)
Trumpf Junior Sport,1935–1937,4 inline,995 cc,"20,6 kW (28 PS)",110 km/h (68 mph)
"Trumpf 1,7 EV",1936–1938,4 inline,"1,645 cc",28 kW (38 PS),102 km/h (63 mph)
"Primus 1,7 E",1937–1938,4 inline,"1,645 cc",28 kW (38 PS),100 km/h (62 mph)
Adler 2.5-litre,1937–1940,6 inline,"2,494 cc","42,6 kW (58 PS)",125 km/h (78 mph)
Adler 2.5-litre Sport,1938–1939,6 inline,"2,494 cc",59 kW (80 PS),150 km/h (93 mph)
2 Liter,1938–1940,4 inline,"1,910 cc",33 kW (45 PS),110 km/h (68 mph)
