Year,Champion,City,LLWS,Record
1968,Tuckahoe LL,"Richmond, Virginia",Runner-Up,2–1
1969,West Tampa LL,"Tampa, Florida",Third Place (tie),1–1
1970,National Optimist LL,"Nashville, Tennessee",Seventh Place,1–2
1971,Gardenside LL,"Lexington, Kentucky",Eighth Place,0–3
1972,National LL,"Vienna, Virginia",Seventh Place,1–2
1973,Belmont Heights LL,"Tampa, Florida",Third Place,2–1
1974,American LL,"Jackson, Tennessee",Fifth Place,2–1
1975,Belmont Heights LL,"Tampa, Florida",Runner-Up,1–1
1976,Tuckahoe American LL,"Richmond, Virginia",Third Place (tie),1–1
1977,Hub City LL,"Hattiesburg, Mississippi",Fifth Place,2–1
1978,South Lexington LL,"Lexington, Kentucky",Third Place,2–1
