Year,Game,Developer,Setting,Platform,Notes,Dummy_Col_1,Noise_Field_2
2007,Catan,Big Huge,Fantasy,XBLA,,nwMfGnq,zGklFYy
2007,Chocolatier,Big Splash,Modern,"OSX, WIN",,IozEXwB,mAYEWkQH
2007,Freight Tycoon,1C Company,Modern,WIN,,LGqqtPQ,OBykMd
2007,Harvest Moon: Island of Happiness,Marvelous,Fantasy,DS,,RsnEkFa,AjSfJiJ
2007,Harvest Moon: Tree of Tranquility,Marvelous,Fantasy,Wii,,mcTACqJ,txNDW
2007,Hospital Tycoon,DR,Modern,WIN,,ltUyhM,StKqOCm
2007,IndustryPlayer,Thomas Lehnert,Modern,BROW,,oJvPth,FTBer
2007,Plant Tycoon,Last Day of Work,Modern,WIN,,XOZfNH,frjfWdin
2007,Prison Tycoon 3: Lockdown,Virtual Playground,Modern,WIN,Sequel to Prison Tycoon 2: Maximum Security.,yhWYJpQo,QHfdlEd
2007,Zoo Tycoon 2: Extinct Animals,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon 2. Hybrid with FPS elements.,eiwIYx,XQLpDu
2008,A-Train HX,Artdink,Modern,X360,Eighth game in the A-Train series.,FoWNvIW,wfCGOpU
2008,BossInGame Business Game,Advanccing,Modern,BROW,,dNkcsvv,EQVGXcZb
2008,Cinema Tycoon 2: Movie Mania,,Modern,WIN,Sequel to Cinema Tycoon.,cVymu,FWaas
2008,Prison Tycoon 4: Supermax,Virtual Playground,Modern,WIN,Sequel to Prison Tycoon 3: Lockdown.,lgNTqHf,oXWZvjVT
2008,Rune Factory 2: A Fantasy Harvest Moon,Neverland,Fantasy,DS,Sequel to Rune Factory: A Fantasy Harvest Moon. Hybrid with RPG elements.,lKZBeo,aPKDct
2008,CarBiz,Velocigames,Modern,WIN,,hNKkN,eddEtOt
2008,Rune Factory Frontier,Neverland,Fantasy,Wii,Hybrid with RPG elements.,uucPdJ,zkInVzu
2008,X3: Terran Conflict,Egosoft,Sci-fi,"OSX, WIN",Sequel to X3: Reunion.,AZJCg,OiLMcRh
2008,Zoo Tycoon 2 DS,Blue Fang,Modern,DS,Sequel to Zoo Tycoon DS.,WekRMFJN,cZxSIFs
2009,Anno 1404,"Related, Ubisoft, Blue Byte",Historical,WIN,Sequel to Anno 1701: Dawn of Discovery. Hybrid with RTS elements.,YVLDnu,yCZsxb
2009,Eco Tycoon: Project Green,ValuSoft,Sci-fi,WIN,,IsJgjKUn,zHAxDeq
2009,Virtonomics,Virtonomics Co,Modern,BROW,International version of Virtonomica (Ru).,vNozhxlQ,SVZKb
2009,Restaurant Empire 2,Enlight,Modern,WIN,,cwabIff,VtNyDrwF
2009,Tropico 3,Haemimont Games,Modern,"WIN, X360",Successor to the original Tropico.,yYYXOrP,xuebxg
2009,MMA Tycoon,Virtual Designs,Modern,"WIN, MAC, iOS",,hWBPDhB,wyMWQ
2009,Simbusiness.com,,Modern,Internet,Multiplayer online business simulation game,NhowO,rUrrL
2010,Hotel Tycoon Resort,Claw Design Software,Modern,Mobile phones (J2ME),,RIsPrSz,RMxQLBh
2010,Gameday Tycoon,28wins,Web,CROSS,,JCDjJjd,WSmAnJPU
