Year,Game,Developer,Setting,Platform,Notes
2010,Patrician IV,Gaming Minds Studios,Historical,WIN,
2010,GameBiz 3,Velocigames,Modern,WIN,Sequel to Gamebiz 2.
2010,Top Tycoon,"TNT Interactive, LLC",Web,BROW,Facebook Application
2011,Tropico 4,Haemimont Games,Modern,"WIN, X360",
2011,Cities in Motion,Colossal Order,Modern,"WIN, MAC, LIN",
2011,Anno 2070,"Related Designs, Ubisoft Blue Byte",Sci-fi,WIN,
2011,Airline Tycoon 2,"b alive, Kalypso",Modern,WIN,
2011,A-Train 9,Artdink,Modern,WIN,Also known as The Train Giant in English and Der Bahn Gigant in German.
2011,Wildlife Park 3,Deep Silver,Modern,WIN,Sequel to Wildlife Park 2
2012,Ski Park Tycoon,Ski Park Tycoon,Modern,WIN,
2013,Game Dev Tycoon,Greenheart Games,Modern,"WIN, MAC, LIN",
2013,Cities in Motion 2,Colossal Order,Modern,"WIN, MAC, LIN",Sequel to Cities in Motion
2013,StudioTcn,StudioTcn,Modern,BROW,
2013,Adventure Park,B-Alive,Modern,WIN,
2013,Music Wars Rebirth 2,Wolverine Studios,Modern,WIN,
2013,World Basketball Manager Tycoon,icehole,Modern,WIN,
Q3 2014,Train Fever,Urban Games,Modern,"WIN, MAC, LIN",First game crowdfunded via Gambitious
TBA,FreeTrain,Various,Modern,CROSS,Open source. A development version is available for download.
TBA,Jurassic Genetics,Flaming Nebula Studios,Sci-fi,"WIN, MAC",
TBA,Automation,Camshaft Software,Modern,WIN,
2012,CorsixTH,Various,Modern,"WIN, LIN, iOS",Open source implementation of Theme Hospital
TBA,School District Tycoon,TBA,Modern,"WIN, MAC",
TBA,Tycoon Online,,Modern,WIN,
TBA,Merchant,,Fantasy,"WIN, MAC, iOS",
TBA,The Business Sim,Various,Modern,WIN,
2012,Prison Architect,Introversion,Modern,WIN MAC LIN,In Alpha
2011,Cars Incorporated,David Klande,Historical,WIN,Alpha-version available
Year,Game,Developer,Setting,Platform,Notes
