,Year,Name,City,Country,Guests of Honor,Size
12th,1954,SFCon,"San Francisco, California",United States,"John W. Campbell, Jr.",700
13th,1955,Clevention,"Cleveland, Ohio",United States,Isaac Asimov (pro)Sam Moskowitz (mystery GoH),380
14th,1956,NyCon II,"New York, New York",United States,Arthur C. Clarke,850
15th,1957,Loncon I,London,UK,"John W. Campbell, Jr.",268
16th,1958,Solacon,"South Gate, California",United States,Richard Matheson,211
17th,1959,Detention,"Detroit, Michigan",United States,Poul Anderson (pro)John Berry (fan),371
18th,1960,Pittcon,"Pittsburgh, Pennsylvania",United States,James Blish,568
19th,1961,Seacon,"Seattle, Washington",United States,Robert A. Heinlein,300
20th,1962,Chicon III,"Chicago, Illinois",United States,Theodore Sturgeon,730
21st,1963,Discon I,"Washington, D.C.",United States,Murray Leinster,600
22nd,1964,Pacificon II,"Oakland, California",United States,Leigh Brackett (pro)Edmond Hamilton (pro)Forrest J Ackerman (fan),523
