Race,Race Name,Pole Position,Fastest lap,Winning driver,Winning team,Yokohama winner,Jay-Ten Winner,Report
1,Race of Brazil,Robert Huff,Robert Huff,Robert Huff,Chevrolet,Kristian Poulsen,Michel Nykjær,Report
2,Race of Brazil,,Robert Huff,Alain Menu,Chevrolet,Javier Villa,Pepe Oriola,Report
3,Race of Belgium,Robert Huff,Robert Huff,Robert Huff,Chevrolet,Kristian Poulsen,Michel Nykjær,Report
4,Race of Belgium,,Javier Villa,Gabriele Tarquini,Lukoil – SUNRED,Darryl O'Young,Michel Nykjær,Report
5,Race of Italy,Robert Huff,Yvan Muller,Robert Huff,Chevrolet,Norbert Michelisz,Fredy Barth,Report
6,Race of Italy,,Yvan Muller,Robert Huff,Chevrolet,Kristian Poulsen,Pepe Oriola,Report
7,Race of Hungary,Alain Menu,Norbert Michelisz,Alain Menu,Chevrolet,Norbert Michelisz,Aleksei Dudukalo,Report
8,Race of Hungary,,Norbert Michelisz,Yvan Muller,Chevrolet,Franz Engstler,Aleksei Dudukalo,Report
9,Race of the Czech Republic,Yvan Muller,Robert Huff,Robert Huff,Chevrolet,Kristian Poulsen,Aleksei Dudukalo,Report
10,Race of the Czech Republic,,Yvan Muller,Yvan Muller,Chevrolet,Michel Nykjær,Aleksei Dudukalo,Report
11,Race of Portugal,Alain Menu,Alain Menu,Alain Menu,Chevrolet,Norbert Michelisz,no finishers,Report
12,Race of Portugal,,Robert Huff,Robert Huff,Chevrolet,Norbert Michelisz,Aleksei Dudukalo,Report
