Representative,State,District(s),Served,Party,Date of birth,Date of death,Age,Filler_1,Noise_Field_2,Irrelevant_3
Antonio Borja Won Pat,Guam,At-large,1973–1985,Democratic,"December 10, 1908","May 1, 1987","78 years, 142 days",zCZyI,GSDZAQO,c3fbIA
Stewart McKinney,Connecticut,4,1971–1987,Republican,"January 30, 1931","May 7, 1987","56 years, 97 days",MZhzNOoo,BRyxwGL,DASJG8S2
James J. Delaney,New York,"6, 7, 9","1945–1947, 1949–1978",Democratic,"March 19, 1901","May 24, 1987","86 years, 66 days",TpAmul,bCLRq,9QMuNK3
Frank Carlson,Kansas,6,1935–1947,Republican,"January 23, 1893","May 30, 1987","94 years, 127 days",aigGh,YeueITd,E1QB0T6
Robert N.C. Nix Sr.,Pennsylvania,"4, 2",1958–1979,Democratic,"August 9, 1898","June 22, 1987","88 years, 317 days",nmmLIvc,kUNEFYpZ,tbOY9VC5
Alvin O'Konski,Wisconsin,10,1943–1973,Republican,"May 26, 1904","July 8, 1987","83 years, 43 days",HFcUyl,oVXPKE,65pGZK
Dominick V. Daniels,New Jersey,14,1959–1977,Democratic,"October 18, 1908","July 17, 1987","78 years, 272 days",rxWOMZHa,HmMGV,V1X5tP
William S. Moorhead,Pennsylvania,"28, 14",1959–1981,Democratic,"April 8, 1923","August 3, 1987","64 years, 117 days",QVFrqQ,CiOshzj,AOx6iR
John W. Wydler,New York,"4, 5",1963–1981,Republican,"June 9, 1924","August 4, 1987","63 years, 56 days",bwnUjNQB,MdeezZHP,g51BEh
Thomas D'Alesandro Jr.,Maryland,3,1939–1947,Democratic,"August 1, 1903","August 23, 1987","84 years, 22 days",roxWL,ifMGyaJ,7szNmu1
Francis E. Dorn,New York,12,1953–1961,Republican,"April 8, 1911","September 17, 1987","76 years, 162 days",FERCoEfa,VkaNe,xvxs2
Harold R. Gross,Iowa,6,1949–1975,Republican,"June 30, 1899","September 22, 1987","88 years, 84 days",snYkkGXl,qHIMv,M2jceYpQ
