Rank,Group,Name,Nationality,2.05,2.15,2.19,2.23,2.26,Result,Notes
14,A,Martyn Bernard,United Kingdom,-,o,xxo,xo,xxx,2.23,
15,B,Peter Horák,Slovakia,-,o,o,xxo,xxx,2.23,
15,B,Normunds Pūpols,Latvia,-,o,o,xxo,xxx,2.23,
17,A,Germaine Mason,United Kingdom,-,o,o,xxx,,2.19,
17,B,Rožle Prezelj,Slovenia,o,o,o,xxx,,2.19,
19,A,Heikki Taneli,Finland,-,xo,o,xxx,,2.19,
19,B,Andriy Sokolovskyy,Ukraine,-,xo,o,xxx,,2.19,
21,B,Mickaël Hanany,France,-,xo,xo,xxx,,2.19,
22,B,Javier Bermejo,Spain,o,o,xxx,,,2.15,
23,A,Osku Torro,Finland,-,xo,x-,x,,2.15,
24,A,Jan-Peter Larsen,Netherlands,o,xxx,,,,2.05,
,B,Adam Scarr,United Kingdom,-,xxx,,,,NM,
