Number,South/west end,North/east end,Formed,Eliminated
U.S. Route 20,US 101 in Newport,"US 20/US 26 towards Boise, ID",1940,
U.S. Route 20 Business,US 20 northwest of Toledo,US 20 northeast of Toledo,,
U.S. Route 20 Business,US 20/US 97B in Bend,US 20/US 97B in Bend,1980s,
U.S. Route 26,US 101 south of Seaside,"US 20/US 26 towards Boise, ID",1952,
U.S. Route 126,OR 99 in Eugene,US 26 in Prineville,1952,1972
U.S. Route 28,OR 99 in Eugene,Former US 30 in Ontario,1926,1952
U.S. Route 30,US 101 in Astoria,"US 30 in Fruitland, ID",1926,
U.S. Route 30 Business,I-84/US 30/OR 201 north of Ontario,I-84/US 30 in Ontario,1980,
U.S. Route 30 Business,OR 99E in Portland,US 30BY in Portland,1967,2007
U.S. Route 30 Bypass,US 30 in Portland,I-84/US 30 in Fairview,1936,
U.S. Route 30N,Former US 30 south of Huntington,"Weiser, ID",1927,1980
U.S. Route 30S,US 30 in Ontario,"Towards Parma, ID",1938,1940
U.S. Route 630,Former US 30 south of Huntington,"Weiser, ID",1926,1927
U.S. Route 730,I-84/US 30 east of Boardman,"US 730 towards Walla Walla, WA",1926,
U.S. Route 95,"US 95 towards Winnemucca, NV","US 95 towards Homedale, ID",1939,
U.S. Route 95 Spur,OR 201 south of Huntington,"US 95S in Weiser, ID",1980,
U.S. Route 395,"US 395 towards Alturas, CA","I-82/US 395 towards Tri-Cities, WA",1934,
U.S. Route 97,"US 97 towards Weed, CA","US 97 towards Yakima, WA",1926,
