Outcome,No.,Date,Championship,Surface,Partner,Opponents in the final,Score in the final,Irrelevant_1,Noise_Field_2,Noise_Field_3
Winner,1.,1968,"Wimbledon, London",Grass,John Newcombe,Ken Rosewall Fred Stolle,"3–6, 8–6, 5–7, 14–12, 6–3",qeNTOVDf,jngCYfN,dasCK
Runner-up,1.,1968,"Hamburg, Germany",Clay,John Newcombe,Tom Okker Marty Riessen,"4–6, 4–6, 5–7",XZD5mBBO,oLIBwa,Tlidp
Runner-up,2.,1968,"Hobart, Australia",Grass,Fred Stolle,Mal Anderson Roger Taylor,"5–7, 3–6, 6–4, 6–1, 4–6",781Xu,eaLhO,eNboe
Runner-up,3.,1969,"Philadelphia WCT, U.S.",Carpet,John Newcombe,Tom Okker Marty Riessen,"6–8, 4–6",lDgFK,Qhrrvi,YaALFr
Winner,2.,1969,"French Open, Paris",Clay,John Newcombe,Roy Emerson Rod Laver,"4–6, 6–1, 3–6, 6–4, 6–4",GlPQGA,SUZRhfA,ddqGO
Winner,3.,1969,"Wimbledon, London",Grass,John Newcombe,Tom Okker Marty Riessen,"7–5, 11–9, 6–3",zPFxS5,uLJby,gVaoLZg
Winner,4.,1970,"Wimbledon, London",Grass,John Newcombe,Ken Rosewall Fred Stolle,"10–8, 6–3, 6–1",BUanZ91D,FRClN,XXYTh
Winner,5.,1970,"Louisville, U.S.",Hard,John Newcombe,Roy Emerson Rod Laver,"8–6, 5–7, 6–4",qGjuR4,wFBwhMuv,gOUVA
Winner,6.,1971,"Australian Open, Melbourne",Grass,John Newcombe,Tom Okker Marty Riessen,"6–2, 7–6",cgk342,FWURFrad,bHlKmcW
Winner,7.,1971,"Miami WCT, U.S.",Hard,John Newcombe,Roy Emerson Rod Laver,"7–6, 7–6",oEvqjuE,UVpyn,YuzOud
Runner-up,4.,1971,"Chicago WCT, U.S.",Carpet,John Newcombe,Tom Okker Marty Riessen,"6–7, 6–4, 6–7",anCMI,plYogY,YXyMyGP
