Saros,Member,Date,Time(Greatest)UTC,Type,"LocationLat,Long",Gamma,Mag.,Width(km),Duration(min:sec),Ref
160,25,"February 1, 2614",1:55:16,Annular,35S 166.3E,-0.3058,0.9897,38,1m 0s,[25]
160,26,"February 12, 2632",10:25:37,Annular,30.9S 40.1E,-0.2969,0.9938,23,0m 36s,[26]
160,27,"February 22, 2650",18:53:59,Annular,26.2S 86.4W,-0.2856,0.9984,6,0m 9s,[27]
160,28,"March 5, 2668",3:17:08,Hybrid,21S 147.7E,-0.2697,1.0035,13,0m 21s,[28]
160,29,"March 16, 2686",11:34:58,Hybrid,15.4S 22.6E,-0.2486,1.009,32,0m 54s,[29]
160,30,"March 27, 2704",19:45:56,Hybrid,9.5S 101.1W,-0.2211,1.0148,52,1m 29s,[30]
160,31,"April 8, 2722",3:51:03,Total,3.5S 136.6E,-0.1881,1.0208,72,2m 6s,[31]
160,32,"April 18, 2740",11:49:23,Total,2.7N 15.9E,-0.1487,1.0268,92,2m 43s,[32]
160,33,"April 29, 2758",19:40:31,Total,8.9N 102.7W,-0.1026,1.0328,111,3m 18s,[33]
160,34,"May 10, 2776",3:25:50,Total,14.9N 140.5E,-0.0507,1.0386,130,3m 50s,[34]
160,35,"May 21, 2794",11:05:18,Total,20.7N 25.6E,0.007,1.0441,147,4m 16s,[35]
