Pos,No.,Rider,Manufacturer,Laps,Time/Retired,Grid,Points,Filler_1,Extra_Data_2,Dummy_Col_3
1,75,Mattia Pasini,Aprilia,27,39:44.091,3,25,iNLzOds,63,rtDeNNfO
2,19,Álvaro Bautista,Aprilia,27,+0.010,2,20,gKHLvvJK,439,AwMMH
3,52,Lukáš Pešek,Derbi,27,+0.111,1,16,MTciOVO,977,QLXYkuW
4,55,Héctor Faubel,Aprilia,27,+9.298,10,13,mxJGWBD,551,ByZJj
5,24,Simone Corsi,Gilera,27,+9.372,9,11,hRSrYn,673,MtGAbfqP
6,1,Thomas Lüthi,Honda,27,+10.570,13,10,RYKqTdMn,203,lTjFu
7,18,Nicolás Terol,Derbi,27,+11.835,5,9,KFhLZ,986,JopJfBHZ
8,36,Mika Kallio,KTM,27,+11.905,4,8,TUvHhXT,940,zvNsl
9,6,Joan Olivé,Aprilia,27,+26.017,16,7,hkmwm,741,nXOJfD
10,33,Sergio Gadea,Aprilia,27,+26.172,12,6,pKmFA,503,YBVgYTbp
11,32,Fabrizio Lai,Honda,27,+26.361,6,5,yzGkvdn,495,XUnVt
